label,ltable_title,ltable_description,ltable_manufacturer,ltable_price,rtable_title,rtable_description,rtable_manufacturer,rtable_price,id
1,hoyle puzzle & board games 2007,over 45 classic puzzle and board games brought to you by hoyle the 1 family entertainment brand. from sudoku to chess to mahjongg there is fun for the whole family. complete with 12 virtual opponents and multiple skill levels.,encore software,19.99,encore software 10567 - hoyle puzzle games 2007 - win 98 me 2000 xp,encore software 10567 : 30+ classic puzzle games brought to you by hoyle the 1 family entertainment brand. from sudoku to crosswords to mahjongg there is fun for the whole family. system requirements: windows 98se/me/2000 sp4/xp sp1* pentium iii ...,,18.97,b000egidpe#http://www.google.com/base/feeds/snippets/381135748290856568
0,red hat enterprise linux ws - ( v. 4 update 4 ) - license - 1 workstation ( rl296aa ),red hat enterprise linux ws is the technical and design workstation partner for enterprise linux as and enterprise linux es. it is ideal for all engineering desktop deployments including design workstations software development environments and targeted engineering isv client applications. when configured as a headless workstation enterprise linux ws is also ideally suited for use as a compute node in a high performance computing (hpc) environment.,hewlett packard,0.0,sunburst technology t02473 - sunburst a to zap! network license - complete product - educational software - 1 server unlimited user - complete product - academic - mac pc,sunburst technology t02473 : early learners prepare for reading and math challenges with this action-packed program featuring 26 activities each connected to a letter of the alphabet! teachers can customize a to zap! to suit particular instructional ...,,488.97,b000jqv8t2#http://www.google.com/base/feeds/snippets/13604290549206936185
0,red hat enterprise linux ws - ( v. 4 update 4 ) - license - 1 workstation ( rl296aa ),red hat enterprise linux ws is the technical and design workstation partner for enterprise linux as and enterprise linux es. it is ideal for all engineering desktop deployments including design workstations software development environments and targeted engineering isv client applications. when configured as a headless workstation enterprise linux ws is also ideally suited for use as a compute node in a high performance computing (hpc) environment.,hewlett packard,0.0,versacheck(r) payroll,versacheck payroll is a complete payroll system that lets you enjoy fast and easy paydays. it has everything you need to pay employees and manage federal and state taxes including free paycycle online payroll and versacheck check-creation software. ...,,79.99,b000jqv8t2#http://www.google.com/base/feeds/snippets/16351968807556510398
0,red hat enterprise linux ws - ( v. 4 update 4 ) - license - 1 workstation ( rl296aa ),red hat enterprise linux ws is the technical and design workstation partner for enterprise linux as and enterprise linux es. it is ideal for all engineering desktop deployments including design workstations software development environments and targeted engineering isv client applications. when configured as a headless workstation enterprise linux ws is also ideally suited for use as a compute node in a high performance computing (hpc) environment.,hewlett packard,0.0,three-to-a-page payroll checks,each has two stubs one for the employee and a permanent stub which stays in the book. standard deductions are printed right on the check.no carbons no mess! choose 1- or 2-part carbonless safety paper checks in your choice of blue green or yellow ...,,104.39,b000jqv8t2#http://www.google.com/base/feeds/snippets/13970974095795851445
0,ca brightstor arcserve backup r11.5 for enterprise option for advantage ingres for,arcserve bkup 11.5 linux ent opt adv ingr prod only,computer associates,0.0,three-to-a-page payroll checks,each has two stubs one for the employee and a permanent stub which stays in the book. standard deductions are printed right on the check.no carbons no mess! choose 1- or 2-part carbonless safety paper checks in your choice of blue green or yellow ...,,104.39,b000ayznhg#http://www.google.com/base/feeds/snippets/13970974095795851445
0,pc professor fuji's kakuro,professor fuji's kakuro offers the most puzzles and excitement for puzzle lovers at all levels! pick up a pencil and prepared to be stumped!,encore software,9.99,11105070 symantec antivirus for network attached storage - ( v. 4.3 ) - media - cd - linu,symantec 11105070 : usually ships in 24 hours : : in today's networked environments high availability of data is critical to business success.,,17.45,b000hpf7p6#http://www.google.com/base/feeds/snippets/12995599724265106066
1,pc professor fuji's kakuro,professor fuji's kakuro offers the most puzzles and excitement for puzzle lovers at all levels! pick up a pencil and prepared to be stumped!,encore software,9.99,encore software 10653 - professor fujis kakuro - win 98 me 2000 xp,encore software 10653 : professor fuji s kakuro offers the most puzzles and excitement for puzzle lovers at all levels! pick up a pencil and prepared to be stumped! system requirements: windows 98se/me/2000 sp4/xp sp1 pentium iii 450mhz 128mb ram 8x ...,,7.69,b000hpf7p6#http://www.google.com/base/feeds/snippets/1781031509566531842
0,return to castle wolfenstein (mac),you are b.j. blazkowicz a highly decorated army ranger recruited into the office of secret actions (osa) tasked with escaping and then returning to castle wolfenstein in an attempt to thwart heinrich himmler's occult and genetic experiments. himmler believes himself to be a reincarnation of a 10th-century dark prince henry the fowler also known as heinrich. through genetic engineering and the harnessing of occult powers himmler hopes to raise an unstoppable army to level the allies once and for all.you must first escape from imprisonment in the castle to report the strange creatures and happenings in and around wolfenstein to the osa. your mission takes a drastic turn as you learn the depth of himmler's plans and what you must do to defeat the evil he has unleashed. your surroundings will be dangerous and hostile. the osa is currently tracking activities believed to be associated with himmler in locations throughout germany including villages overrun by the occult hidden crypts forests air bases secret weapons facilities and genetic labs.enter a highly immersive story line driven by realistic mission-based action gameplay believable ai and the quake iii engine. arm yourself with an arsenal of weapons including luger 9mm mauser 7.92mm mp-40 sp-5 sniper venom guns grenades rocket launchers and flamethrowers. the game also features a multiplayer mode pitting players in a team-based axis versus allies contest for frontline domination.,aspyr media,29.99,encore software 10653 - professor fujis kakuro - win 98 me 2000 xp,encore software 10653 : professor fuji s kakuro offers the most puzzles and excitement for puzzle lovers at all levels! pick up a pencil and prepared to be stumped! system requirements: windows 98se/me/2000 sp4/xp sp1 pentium iii 450mhz 128mb ram 8x ...,,7.69,b00005v55b#http://www.google.com/base/feeds/snippets/1781031509566531842
1,crystal reports 11 professional full product french,- marketing information: crystal reports the worldandquot;s leading reporting tool gives you a powerful flexible and open environment to work in. create flexible high-fidelity reports and tightly integrate them into applications with the latest version of crystal reports. product information - software sub type: database reporting - software name: crystal reports v.xi professional edition - complete product - features and benefits: report types: - mailing labels - cross-tab reports - form-style reports - subreports - conditional reports - top/bottom n reports - drill-down/summary reports - olap reports chart types: - bar - stacked bar - column - stacked column - line - area - numeric or date/time x-axis - pie - scatter - bubble - guage - gantt - funnel high productivity report creation: - report design wizard - data explorer - report explorer - workbench - field explorer - microsoft excel and access add-ins - report experts for automatic report creation - graphical table linking - field mapping between databases - repository for component reuse - custom templates - template window (design) - fully customizable runtime preview window - drill down in runtime preview window - auto saving comprehensive formatting and design control: - guidelines and vertical rulers - automatic styles auto-arrange fields ruler - drag and drop browse field data - drawing-style interface - moving and resizing objects s,business objects,909.66,crystal reports xi professional edition - complete package,crystal reports xi professional edition - complete package - 1 user - win - french,,537.57,b000b5ue6y#http://www.google.com/base/feeds/snippets/18392141725886908183
0,intellimover transfer your pc deluxe,intellimover deluxe simplifies pc file migration saving you time and eliminating frustration. transfer customized settings preferences data files email and more from an old pc to a new pc -- more easily than you ever imagined. instantly gets your new pc files up and running so you can start working immediately,nova development,69.99,steinberg sequel music software music production software,sequel - music creation and performance software - mac os x and windows xp/vista sequel from steinberg is an affordable and easy-to-use solution for music creation and performance designed for the first-time computer music user. as an introduction ...,,99.99,b0002ce0v6#http://www.google.com/base/feeds/snippets/7446817695346465267
