label,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,id
1,Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing,"Viswanath Poosala, Yannis E. Ioannidis",VLDB,1996,Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing,"Viswanath Poosala, Yannis E. Ioannidis",Very Large Data Bases,1996,conf/vldb/PoosalaI96#673321
0,Describing and Using Query Capabilities of Heterogeneous Sources,"Yannis Papakonstantinou, Vasilis Vassalos",VLDB,1997,Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing,"Viswanath Poosala, Yannis E. Ioannidis",Very Large Data Bases,1996,conf/vldb/VassalosP97#673321
0,Parallel Query Scheduling and Optimization with Time- and Space-Shared Resources,"Yannis E. Ioannidis, Minos N. Garofalakis",VLDB,1997,Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing,"Viswanath Poosala, Yannis E. Ioannidis",Very Large Data Bases,1996,conf/vldb/GarofalakisI97#673321
0,Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing,"Viswanath Poosala, Yannis E. Ioannidis",VLDB,1996,Query processing and optimization in Oracle Rdb,"Gennady Antoshenkov, Mohamed Ziauddin",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1996,conf/vldb/PoosalaI96#765852
1,Query Processing and Optimization in Oracle Rdb,"Gennady Antoshenkov, Mohamed Ziauddin",VLDB J.,1996,Query processing and optimization in Oracle Rdb,"Gennady Antoshenkov, Mohamed Ziauddin",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1996,journals/vldb/AntoshenkovZ96#765852
0,Semint: A System Prototype for Semantic Integration in Heterogeneous Databases,"Wen-Syan Li, Chris Clifton",SIGMOD Conference,1995,A survey of logical models for OLAP databases,"Panos Vassiliadis, Timos Sellis",ACM SIGMOD Record ,1999,conf/sigmod/LiC95#344869
0,IPSOFACTO: A Visual Correlation Tool for Aggregate Network Traffic Data,"Yunyue Zhu, S. Muthukrishnan, Flip Korn",SIGMOD Conference,2003,A survey of logical models for OLAP databases,"Panos Vassiliadis, Timos Sellis",ACM SIGMOD Record ,1999,conf/sigmod/KornMZ03#344869
0,A Framework for Implementing Hypothetical Queries,"Timothy Griffin, Richard Hull",SIGMOD Conference,1997,A survey of logical models for OLAP databases,"Panos Vassiliadis, Timos Sellis",ACM SIGMOD Record ,1999,conf/sigmod/GriffinH97#344869
0,Incremental Updates of Inverted Lists for Text Document Retrieval,"Hector Garcia-Molina, Anthony Tomasic, Kurt A. Shoens",SIGMOD Conference,1994,A survey of logical models for OLAP databases,"Panos Vassiliadis, Timos Sellis",ACM SIGMOD Record ,1999,conf/sigmod/TomasicGS94#344869
0,Reminiscences on Influential Papers,"Kaladhar Voruganti, Ren�e J. Miller, Kenneth A. Ross, Flip Korn",SIGMOD Record,2002,A survey of logical models for OLAP databases,"Panos Vassiliadis, Timos Sellis",ACM SIGMOD Record ,1999,journals/sigmod/RossKMV02#344869
