label,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,id
0,TIMBER: A native XML database,"H Jagadish, S Al-Khalifa, A Chapman, L Lakshmanan, A Nierman, S Paparizos, J Patel, D Srivastava, N Wiwatwattana, Y Wu, C Yu",VLDB J.,2002,"OÃ¢â?¬â?¢ Neil PE, Shasha D. The dangers of replication and a solution","J Gray, P Helland","Proceedings of the 1996 ACM SIGMOD International Conference  &hellip;,",,journals/vldb/JagadishACLNPPSWWY02#J_QkWJ4HlOUJ
0,TIMBER: A native XML database,"H Jagadish, S Al-Khalifa, A Chapman, L Lakshmanan, A Nierman, S Paparizos, J Patel, D Srivastava, N Wiwatwattana, Y Wu, C Yu",VLDB J.,2002,On Computing Functions with Uncertainty,"S Khanna, WC Tan",,,journals/vldb/JagadishACLNPPSWWY02#JYOv-gfnfcwJ
1,TIMBER: A native XML database,"H Jagadish, S Al-Khalifa, A Chapman, L Lakshmanan, A Nierman, S Paparizos, J Patel, D Srivastava, N Wiwatwattana, Y Wu, C Yu",VLDB J.,2002,Timber: A native XML database,H Jagdishâ?¦,ACM,,journals/vldb/JagadishACLNPPSWWY02#B10xHVasKUoJ
0,TIMBER: A native XML database,"H Jagadish, S Al-Khalifa, A Chapman, L Lakshmanan, A Nierman, S Paparizos, J Patel, D Srivastava, N Wiwatwattana, Y Wu, C Yu",VLDB J.,2002,Use of synthesized speech in automated computer interviews,"L Lenert, D Michaelson, M Bergen, M Parineh","Technical Report 3, Stanford University, Stanford Center for the",,journals/vldb/JagadishACLNPPSWWY02#rGRdhGkR39UJ
1,TIMBER: A native XML database,"H Jagadish, S Al-Khalifa, A Chapman, L Lakshmanan, A Nierman, S Paparizos, J Patel, D Srivastava, N Wiwatwattana, Y Wu, C Yu",VLDB J.,2002,"TIMBER: A Native XML Database, 2003","HV Jagadish, S Al-Khalifa, A Chapman, LVS  ",VLDB,,journals/vldb/JagadishACLNPPSWWY02#vQVMrRkJwSIJ
0,TIMBER: A native XML database,"H Jagadish, S Al-Khalifa, A Chapman, L Lakshmanan, A Nierman, S Paparizos, J Patel, D Srivastava, N Wiwatwattana, Y Wu, C Yu",VLDB J.,2002,"J., STE. ARNS, R, E, AND LEWIS, PM, II System level concurrency control for distrlhuted databases",D ROSNKRANTZ,ACM Trans. Database,,journals/vldb/JagadishACLNPPSWWY02#m4Rm4Es30PMJ
1,TIMBER: A native XML database,"H Jagadish, S Al-Khalifa, A Chapman, L Lakshmanan, A Nierman, S Paparizos, J Patel, D Srivastava, N Wiwatwattana, Y Wu, C Yu",VLDB J.,2002,TIMBER: A native XML database,"HV Jagadish, S Al-Khalifa, A Chapman, LVS  ","The VLDB Journal The International Journal on Very Large  &hellip;,",2002.0,journals/vldb/JagadishACLNPPSWWY02#zaDlTkyGASQJ
0,GTE SuperPages: Using IR Techniques for Searching Complex Objects,"S Whitehead, H Sinha, M Murphy",VLDB,1997,TIMBER: A native XML database,"HV Jagadish, S Al-Khalifa, A Chapman, LVS  ","The VLDB Journal The International Journal on Very Large  &hellip;,",2002.0,conf/vldb/WhiteheadSM97#zaDlTkyGASQJ
1,Data Grid Management Systems,"A Jagatheesan, A Rajasekar",SIGMOD Conference,2003,Data Grid Management Systems,"RW Moore, A Jagatheesan",,,conf/sigmod/JagatheesanR03#QDqI_QZyy10J
0,Data Grid Management Systems,"A Jagatheesan, A Rajasekar",SIGMOD Conference,2003,A Software Agent Environment and Construction System,MHSB Coen,,1994.0,conf/sigmod/JagatheesanR03#9CxMno45yhYJ
0,Data Grid Management Systems,"A Jagatheesan, A Rajasekar",SIGMOD Conference,2003,Query Caching and Optimization in Distributed Media Systems,"S Adali, KS Candan, Y Papakonstantinou, VS  ",Proc. of,,conf/sigmod/JagatheesanR03#I8qFyTX4FhoJ
1,Query Caching and Optimization in Distributed Mediator Systems,"S Adali, K Candan, Y Papakonstantinou, V Subrahmanian",SIGMOD Conference,1996,Query Caching and Optimization in Distributed Media Systems,"S Adali, KS Candan, Y Papakonstantinou, VS  ",Proc. of,,conf/sigmod/AdaliCPS96#I8qFyTX4FhoJ
1,Data Grid Management Systems,"A Jagatheesan, A Rajasekar",SIGMOD Conference,2003,Grid Data Management Systems &amp; Services,"A Jagatheesan, R Moore","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003.0,conf/sigmod/JagatheesanR03#InqySB8bkKkJ
1,Grid Data Management Systems & Services,,,2003,Grid Data Management Systems &amp; Services,"A Jagatheesan, R Moore","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003.0,conf/vldb/JagatheesanMPW03#InqySB8bkKkJ
1,Data Grid Management Systems,"A Jagatheesan, A Rajasekar",SIGMOD Conference,2003,Data Grid Management Systems,"A Jagatheesan, A Rajasekar",,,conf/sigmod/JagatheesanR03#hHMtxXFlyu8J
1,Decision Tables: Scalable Classification Exploring RDBMS Capabilities,"H Lu, H Liu",VLDB,2000,Decision Tables: Scalable Classification Exploring RDBMS Capabilities,"H Lu, H Liu","VLDB,",2000.0,conf/vldb/LuL00#Ih5hY-NRmFgJ
1,Decision Tables: Scalable Classification Exploring RDBMS Capabilities,"H Lu, H Liu",VLDB,2000,Decision tables: Scalable classification exploring RDBMS capabilities [A],"LU Hongjun, LIU Hongyan","Proc of the 26th Int Conf on Very Large DatabasesCairo:  &hellip;,",,conf/vldb/LuL00#yzibVNHiDe0J
1,A Framework for Expressing and Combining Preferences,"R Agrawal, E Wimmers",SIGMOD Conference,2000,A Framework for Expressing and Combining Preferences,"R Agrawal, EL Wimmers","SIGMOD Conference,",2000.0,conf/sigmod/AgrawalW00#wivJNEQEWzMJ
