ltable_id,rtable_id,label
journals/vldb/JagadishACLNPPSWWY02,J_QkWJ4HlOUJ,0
conf/sigmod/JagatheesanR03,QDqI_QZyy10J,1
conf/vldb/LuL00,Ih5hY-NRmFgJ,1
conf/sigmod/AgrawalW00,wivJNEQEWzMJ,1
conf/sigmod/JagadishJOT01,OM7n6h8R8CoJ,1
conf/sigmod/Nori00,url:http://portal.acm.org/citation.cfm%3Fid%3D342009.335474,1
conf/vldb/PardonA00,Bax8yKEV6McJ,1
conf/sigmod/NgLHP98,NQAssNK12xUJ,1
journals/sigmod/BernsteinDK99,Ye5fTBiMoUwJ,1
conf/vldb/Graefe99,U4roz3-u3jAJ,0
journals/tods/HsuSY01,72qD_nn2VQMJ,0
conf/vldb/ManolescuFKXO00,t19PsyGam1EJ,1
journals/vldb/BernsteinPS00,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D1027743%26type%3Dpdf,0
journals/sigmod/DomenigD99,p9UAHVBitfwJ,0
journals/vldb/MylopoulosCPST96,rP6SJS_yx7QJ,0
conf/vldb/MengLYWCR98,EcpPzbn2EaIJ,1
conf/sigmod/WangCMSSZ94,2eCX6Umup8MJ,0
conf/vldb/DeWittKLPY94,WbnSYesbN8QJ,1
journals/sigmod/Nascimento03,YLFxJnihsvgJ,0
journals/sigmod/Jannink95,7-nniRKT4QEJ,0
conf/vldb/MorishimaKKT01,FKzEh6ReI6YJ,0
conf/sigmod/PoosalaIHS96,HKPOQm4QcQcJ,1
conf/sigmod/Ramanan02,9PhYz-N58A8J,0
journals/sigmod/AdelbergKG96,qRMBSPif6SgJ,0
conf/vldb/NishioSTTL01,url:http://portal.acm.org/citation.cfm%3Fid%3D244130.244203%26dl%3DGUIDE%26dl%3DACM%26type%3Dseries%26idx%3DSERIES316%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Multimedia%2520Conference%26CFID%3D11111111%26CFTOKEN%3D2222222,0
conf/sigmod/HaasH99,fz1XAzoKPo0J,1
journals/sigmod/Domingo-FerrerH98,Iip0pPgnDl0J,0
conf/sigmod/KemperMPS94,ChCPyLiBpr4J,1
conf/vldb/ShengBDM02,TxP1RZds768J,0
conf/vldb/SevcikK96,EigxyQ5jgQ4J,0
conf/vldb/GilbertKMS01,Ewv9Jp5BghQJ,0
journals/vldb/HansonCDERTX98,PSQ-qYD4aiAJ,0
journals/vldb/AtzeniM00,url:http://www.springerlink.com/index/0YKCKU5LKG6G102T.pdf,1
conf/sigmod/BerckenDS00,KO6M4Fc8-80J,1
conf/sigmod/KornJF97,yp9N1FsxVlkJ,0
journals/sigmod/Wiegand03,msqzNc2ox4IJ,0
conf/vldb/JagadishLRSS94,kG-k9420fGMJ,0
conf/sigmod/ZaharioudakisCLPU00,8xpvMb7_Gx4J,0
conf/sigmod/DarR94,Am96xngV-70J,0
conf/sigmod/HarinarayanRU96,ESZwkhGzOboJ,1
journals/sigmod/YanG95,tMXkkRDxvkQJ,1
conf/sigmod/BergstraesserBPS99,gtEB_lsPqZkJ,0
journals/sigmod/AndersonS94,FhVshkE-gXYJ,0
conf/vldb/GotoK02,bhaU6AXALeoJ,0
conf/sigmod/FernandezS96,rBCIkAq4kBcJ,0
conf/vldb/GarofalakisRS99,poso7AKokFMJ,1
journals/tods/YanG94,tD9NzOdCfTsJ,0
conf/sigmod/ArasuG03,E9i1t00_OogJ,0
conf/sigmod/ForlizziGNS00,dP1tJuCiK2cJ,0
conf/vldb/DyresonBJ99,v0HGx47N2nEJ,0
conf/sigmod/FaloutsosL95,55633II7L7wJ,0
conf/vldb/RamaswamyMS98,WTYQ40Rn_tUJ,1
conf/vldb/ColletCS94,uMutI8spj1QJ,1
conf/vldb/SeshadriLR96,kyUXzFPXzwIJ,1
journals/sigmod/Chen94,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D187460%26type%3Dpdf%26coll%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,1
journals/tods/Suciu02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D1083723%26type%3Dpdf,0
conf/sigmod/BohlenBD99,X2odIfnOC88J,1
conf/vldb/BerckenS01,rua97CQKat0J,0
journals/sigmod/Bussler02,MlM1FZaRl68J,0
conf/sigmod/LuoEHN02,0OFmgy2rDFIJ,0
journals/sigmod/TanK03,qIzj09N-Qr8J,1
journals/sigmod/Lomet98,a7LFhHt5dW0J,0
conf/sigmod/SzalayGKT00,5Q_6HLwZ2YIJ,1
journals/sigmod/CaplinskasEV02,toyA3HSHUqUJ,0
conf/vldb/SilversteinBMU98,QNjEh-3zt3gJ,0
conf/sigmod/ZhugeGHW95,_XLK2p-e2pYJ,1
conf/vldb/HinneburgLH03,BS5tF7LAW_YJ,0
journals/tods/DiaoAFZF03,98jaT0cxmgUJ,0
journals/sigmod/RosenthalHRS97,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D248612%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,1
conf/vldb/HulgeriS02,TS2vyW2vHpgJ,0
journals/sigmod/Ozsu02b,rJwzp8x5sjcJ,0
conf/vldb/Uhl02,d-z1iVzGxLUJ,0
