id,label,lat,lon,ontology,ele
0,Petra (Jordan),30.3167,35.4833,http://data.nytimes.com/,
1,Petra,,,http://dbpedia.org/,
5,"Cordoba, Spain",,,http://dbpedia.org/,
6,Prague (Czech Republic),50.0878,14.4241,http://data.nytimes.com/,
12,Girona (Spain),41.9831,2.8249299999999997,http://data.nytimes.com/,
15,Split,43.5089,16.4392,http://sws.geonames.org/,
24,San Jose (Calif),37.3394,-121.895,http://data.nytimes.com/,
25,"San Jose, California",,,http://dbpedia.org/,
30,Moscow (Russia),55.7522,37.6156,http://data.nytimes.com/,
32,Zermatt (Switzerland),46.0167,7.75,http://data.nytimes.com/,
52,Wengen (Switzerland),46.6,7.91667,http://data.nytimes.com/,
56,Savannah (Ga),32.0835,-81.0998,http://data.nytimes.com/,
57,savannah,32.0507,-81.1038,http://rdf.freebase.com/,15.0
59,norwalk,41.1175,-73.4083,http://rdf.freebase.com/,
63,dublin,53.3428,-6.2661,http://rdf.freebase.com/,
70,Hollywood (Calif),34.0983,-118.32700000000001,http://data.nytimes.com/,
78,Guilin (China),25.2819,110.286,http://data.nytimes.com/,
83,"Killington, Vermont",,,http://dbpedia.org/,
84,Zihuatanejo (Mexico),17.6333,-101.55,http://data.nytimes.com/,
85,Zihuatanejo,17.6367,-101.551,http://dbpedia.org/,
86,Ouro Preto (Brazil),-20.2875,-43.5081,http://data.nytimes.com/,
87,Ouro Preto,-20.3948,-43.5052,http://sws.geonames.org/,
89,Hiroshima,34.3981,132.476,http://dbpedia.org/,
100,Mombasa (Kenya),-4.05,39.6667,http://data.nytimes.com/,
101,mombasa,-4.05,39.6667,http://rdf.freebase.com/,
109,Kathmandu,27.7,85.3333,http://dbpedia.org/,
110,Vienna (Austria),48.2085,16.3721,http://data.nytimes.com/,
111,vienna,48.2088,16.3726,http://rdf.freebase.com/,
123,lake louise alberta,51.4311,-116.184,http://rdf.freebase.com/,
130,Pawleys Island (SC),33.4296,-79.1217,http://data.nytimes.com/,
141,Ayodhya,26.8,82.2,http://dbpedia.org/,
145,zanzibar,-6.1333,39.3167,http://rdf.freebase.com/,
148,Espanola (NM),35.9911,-106.081,http://data.nytimes.com/,
149,"Espanola, New Mexico",,,http://dbpedia.org/,
