label,ltable_label,ltable_lat,ltable_lon,ltable_ontology,ltable_ele,rtable_label,rtable_lat,rtable_lon,rtable_ontology,rtable_ele,id
0,Mazatlan (Mexico),23.2167,-106.417,http://data.nytimes.com/,,Hunts Point,40.8126,-73.884,http://sws.geonames.org/,,0@2450#1@2970
0,Petropolis (Brazil),-22.505,-43.1786,http://data.nytimes.com/,,Hunts Point,40.8126,-73.884,http://sws.geonames.org/,,0@3023#1@2970
1,Hunts Point (NYC),40.8126,-73.884,http://data.nytimes.com/,,Hunts Point,40.8126,-73.884,http://sws.geonames.org/,,0@516#1@2970
1,hunts point bronx,40.812601,-73.884025,http://rdf.freebase.com/,,Hunts Point,40.8126,-73.884,http://sws.geonames.org/,,0@517#1@2970
1,Mazatlan (Mexico),23.2167,-106.417,http://data.nytimes.com/,,mazatlan,23.2167,-106.417,http://rdf.freebase.com/,,0@2450#1@5074
1,Punta Cana (Dominican Republic),18.5818,-68.4043,http://data.nytimes.com/,,Punta Cana,18.5333,-68.3667,http://dbpedia.org/,,0@288#1@289
1,Punta Cana,18.5818,-68.4043,http://sws.geonames.org/,,Punta Cana,18.5333,-68.3667,http://dbpedia.org/,,0@2641#1@289
1,Punta Cana (Dominican Republic),18.5818,-68.4043,http://data.nytimes.com/,,punta cana,18.5333,-68.3667,http://rdf.freebase.com/,,0@288#1@7163
0,"Long Beach, New York",,,http://dbpedia.org/,,punta cana,18.5333,-68.3667,http://rdf.freebase.com/,,0@854#1@7163
1,Punta Cana,18.5818,-68.4043,http://sws.geonames.org/,,punta cana,18.5333,-68.3667,http://rdf.freebase.com/,,0@2641#1@7163
1,Punta Cana,18.5333,-68.3667,http://dbpedia.org/,,punta cana,18.5333,-68.3667,http://rdf.freebase.com/,,0@289#1@7163
1,Punta Cana (Dominican Republic),18.5818,-68.4043,http://data.nytimes.com/,,Punta Cana,18.5818,-68.4043,http://sws.geonames.org/,,0@288#1@2641
0,Punta Cana (Dominican Republic),18.5818,-68.4043,http://data.nytimes.com/,,Carcassonne,43.2167,2.35,http://sws.geonames.org/,,0@288#1@6840
0,Ayacucho,-13.1631,-74.2244,http://dbpedia.org/,,Carcassonne,43.2167,2.35,http://sws.geonames.org/,,0@6942#1@6840
1,new york,40.7142,-74.0064,http://rdf.freebase.com/,,New York City,40.7127,-74.0059,http://dbpedia.org/,,0@7048#1@5446
1,New York,40.7143,-74.006,http://sws.geonames.org/,,New York City,40.7127,-74.0059,http://dbpedia.org/,,0@4423#1@5446
1,Naypyidaw (Myanmar),19.745,96.1297,http://data.nytimes.com/,,Naypyidaw,19.75,96.1,http://dbpedia.org/,,0@2987#1@7233
1,naypyidaw,19.75,96.1,http://rdf.freebase.com/,,Naypyidaw,19.75,96.1,http://dbpedia.org/,,0@5912#1@7233
1,Nay Pyi Taw,19.745,96.1297,http://sws.geonames.org/,,Naypyidaw,19.75,96.1,http://dbpedia.org/,,0@2988#1@7233
0,Sacramento,38.5816,-121.494,http://sws.geonames.org/,,Naypyidaw,19.75,96.1,http://dbpedia.org/,,0@1159#1@7233
0,granada,37.1742,-3.5975,http://rdf.freebase.com/,,Naypyidaw,19.75,96.1,http://dbpedia.org/,,0@7366#1@7233
0,Naypyidaw (Myanmar),19.745,96.1297,http://data.nytimes.com/,,Cairo,30.0626,31.2497,http://sws.geonames.org/,,0@2987#1@2223
1,Cairo,30.0581,31.2289,http://dbpedia.org/,,Cairo,30.0626,31.2497,http://sws.geonames.org/,,0@6328#1@2223
0,tallinn,59.4339,24.7549,http://rdf.freebase.com/,,Cairo,30.0626,31.2497,http://sws.geonames.org/,,0@1626#1@2223
0,armacao dos buzios,-22.7469,-41.8819,http://rdf.freebase.com/,,Cairo,30.0626,31.2497,http://sws.geonames.org/,,0@7520#1@2223
0,New Milford (Conn),41.577,-73.4085,http://data.nytimes.com/,,Orleans,41.7898,-69.9897,http://sws.geonames.org/,,0@1004#1@1172
0,New Milford (Conn),41.577,-73.4085,http://data.nytimes.com/,,Killarney,52.05,-9.51667,http://sws.geonames.org/,,0@1004#1@5452
0,lower east side manhattan,40.719,-73.988,http://rdf.freebase.com/,,Killarney,52.05,-9.51667,http://sws.geonames.org/,,0@759#1@5452
0,"Armonk, New York",,,http://dbpedia.org/,,Killarney,52.05,-9.51667,http://sws.geonames.org/,,0@6046#1@5452
1,New Milford (Conn),41.577,-73.4085,http://data.nytimes.com/,,New Milford,41.577,-73.4085,http://sws.geonames.org/,,0@1004#1@7088
1,new milford,41.5769,-73.4089,http://rdf.freebase.com/,,New Milford,41.577,-73.4085,http://sws.geonames.org/,,0@1005#1@7088
0,Oxford,34.3665,-89.5192,http://sws.geonames.org/,,New Milford,41.577,-73.4085,http://sws.geonames.org/,,0@3000#1@7088
1,New Milford (Conn),41.577,-73.4085,http://data.nytimes.com/,,"New Milford, Connecticut",,,http://dbpedia.org/,,0@1004#1@3731
1,new milford,41.5769,-73.4089,http://rdf.freebase.com/,,"New Milford, Connecticut",,,http://dbpedia.org/,,0@1005#1@3731
0,Tours,47.3936,0.689167,http://dbpedia.org/,,Goteborg (Sweden),57.7072,11.9668,http://data.nytimes.com/,,0@7213#1@4572
1,Gothenburg,57.7,11.9667,http://dbpedia.org/,,Goteborg (Sweden),57.7072,11.9668,http://data.nytimes.com/,,0@4573#1@4572
1,Tours,47.3936,0.689167,http://dbpedia.org/,,Tours (France),47.3833,0.683333,http://data.nytimes.com/,,0@7213#1@1182
0,Sao Paulo (Brazil),-23.5475,-46.6361,http://data.nytimes.com/,,Tours (France),47.3833,0.683333,http://data.nytimes.com/,,0@5305#1@1182
0,Estoril (Portugal),38.7057,-9.39773,http://data.nytimes.com/,,Tours (France),47.3833,0.683333,http://data.nytimes.com/,,0@1451#1@1182
1,Tours,47.3936,0.689167,http://dbpedia.org/,,tours,47.38,0.69,http://rdf.freebase.com/,,0@7213#1@1183
0,Mogadishu (Somalia),2.03914,45.3419,http://data.nytimes.com/,,tours,47.38,0.69,http://rdf.freebase.com/,,0@637#1@1183
1,Tours,47.3833,0.683333,http://sws.geonames.org/,,tours,47.38,0.69,http://rdf.freebase.com/,,0@5145#1@1183
0,delft,52.0114,4.35861,http://rdf.freebase.com/,,tours,47.38,0.69,http://rdf.freebase.com/,,0@2373#1@1183
0,xian,34.2683,108.942,http://rdf.freebase.com/,,tours,47.38,0.69,http://rdf.freebase.com/,,0@6675#1@1183
1,Tours (France),47.3833,0.683333,http://data.nytimes.com/,,tours,47.38,0.69,http://rdf.freebase.com/,,0@1182#1@1183
0,Ronda,36.7372,-5.16472,http://dbpedia.org/,,tours,47.38,0.69,http://rdf.freebase.com/,,0@6565#1@1183
0,cologne,50.9424,7.02919,http://rdf.freebase.com/,,San Francisco (Calif),37.7749,-122.419,http://data.nytimes.com/,,0@3190#1@2046
1,San Francisco,37.7749,-122.419,http://sws.geonames.org/,,San Francisco (Calif),37.7749,-122.419,http://data.nytimes.com/,,0@2746#1@2046
1,san francisco,37.775,-122.418,http://rdf.freebase.com/,,San Francisco (Calif),37.7749,-122.419,http://data.nytimes.com/,,0@3718#1@2046
0,cologne,50.9424,7.02919,http://rdf.freebase.com/,,Seoul (South Korea),37.5664,127.0,http://data.nytimes.com/,,0@3190#1@823
0,Hoffenheim (Germany),49.2667,8.85,http://data.nytimes.com/,,"Punta Gorda, Florida",,,http://dbpedia.org/,,0@2552#1@932
1,punta gorda,26.9294,-82.0456,http://rdf.freebase.com/,,"Punta Gorda, Florida",,,http://dbpedia.org/,,0@6286#1@932
0,Zihuatanejo,17.6367,-101.551,http://dbpedia.org/,,"Punta Gorda, Florida",,,http://dbpedia.org/,,0@85#1@932
1,Hoffenheim (Germany),49.2667,8.85,http://data.nytimes.com/,,hoffenheim,49.2722,8.844439999999997,http://rdf.freebase.com/,,0@2552#1@5073
1,Hoffenheim,49.2722,8.844439999999997,http://dbpedia.org/,,hoffenheim,49.2722,8.844439999999997,http://rdf.freebase.com/,,0@2792#1@5073
1,Hoffenheim,49.2667,8.85,http://sws.geonames.org/,,hoffenheim,49.2722,8.844439999999997,http://rdf.freebase.com/,,0@2553#1@5073
0,Plainsboro,40.3334,-74.6004,http://sws.geonames.org/,,hoffenheim,49.2722,8.844439999999997,http://rdf.freebase.com/,,0@6768#1@5073
0,Hoffenheim (Germany),49.2667,8.85,http://data.nytimes.com/,,Huntington Station,40.8534,-73.4115,http://sws.geonames.org/,,0@2552#1@7343
