ltable_id,rtable_id,label
1219,2470,0
492,1635,0
3917,2224,1
2155,2948,0
271,1410,1
3309,716,0
1024,37,0
1780,685,1
1479,1563,0
2026,1679,0
2155,1261,0
525,433,0
3,641,0
4068,2374,0
4203,2425,0
2572,221,0
309,2621,0
309,418,0
200,559,0
3963,63,0
2633,2143,0
2558,1284,1
1218,2463,0
285,411,0
184,1889,0
1178,1255,0
501,216,0
29,2883,0
184,1255,0
563,1177,1
507,716,0
1755,1635,0
1904,2681,0
3402,1889,0
1251,812,0
113,475,0
2596,2124,0
406,2071,0
1900,333,0
4181,2300,0
982,348,0
1621,548,1
184,1679,0
487,1519,0
4168,2381,0
3963,980,0
2007,203,1
1218,1445,0
833,2728,0
3842,1853,0
1030,679,0
2444,1348,0
29,2582,0
76,2831,0
3626,646,0
525,2972,0
2215,1120,0
2494,2565,0
1042,55,1
1661,1163,0
1621,2601,0
2026,1496,0
4027,2510,0
3130,1414,0
3959,447,0
3626,90,0
2316,838,0
3381,1859,1
4256,1825,0
3956,2249,0
285,1551,0
2115,2673,0
3185,1551,0
3098,1638,0
4117,838,0
1842,737,1
3079,2048,0
652,1534,0
1661,1428,0
3372,1281,0
2156,1973,0
262,419,0
696,1496,0
1471,1165,0
2972,218,0
3,439,0
2115,77,0
4063,2331,1
4161,2409,1
862,2906,1
2242,1048,1
2082,1496,0
982,2999,1
3715,2562,0
3246,284,0
1931,810,1
704,411,0
1880,872,0
3325,2266,0
2047,1103,0
2718,2787,0
141,2672,0
4138,823,0
190,805,1
2277,1255,0
4162,2313,0
1850,742,1
2909,1529,1
3963,1026,0
2480,558,0
1185,2991,0
2433,2722,0
2175,996,1
1466,972,0
178,838,0
732,621,0
2423,881,0
1857,1860,0
3388,99,0
2125,22,0
3605,521,0
2272,64,0
492,1661,0
4200,469,0
4101,2360,1
285,623,0
2602,1255,0
890,2580,1
2689,1373,1
1672,590,1
3126,461,0
1755,2883,0
354,22,0
2086,490,0
2089,1038,0
2423,1934,0
2156,1889,0
2365,469,0
3210,1737,1
4286,2362,1
773,22,0
3758,2120,1
1587,1911,0
487,646,0
1587,1534,0
1898,2085,0
1755,1551,0
2401,179,0
184,1534,0
2602,1955,0
3417,1983,0
1118,2812,0
9,2883,0
3813,22,0
1587,1496,0
1621,1853,0
486,2883,0
1524,284,0
890,615,0
3248,1298,0
736,316,0
4003,2284,1
4088,2351,1
285,90,0
138,1635,0
3325,1973,0
2209,2728,0
2026,1911,0
2606,1320,1
1460,412,1
138,646,0
1281,704,0
2362,1136,1
3963,2334,0
178,1103,0
3813,1026,0
2082,1638,0
1458,1414,0
1207,1604,0
1219,2463,0
1725,419,0
138,90,0
2491,1260,0
285,1026,0
1661,351,0
2480,2621,0
1898,1408,0
1436,1069,0
285,1534,0
487,1414,0
44,1119,0
386,2204,1
167,635,0
2992,1590,1
3963,1863,0
1458,646,0
2082,1103,0
1207,558,0
1433,1261,0
1456,409,1
3963,1551,0
4329,2416,0
491,1120,0
3325,63,0
34,2048,0
2399,144,0
3802,2149,1
3246,1682,0
2047,63,0
2433,1534,0
9,881,0
2972,2883,0
2089,845,0
3800,2146,1
1648,571,1
2423,465,0
260,1174,0
2319,980,0
833,641,0
3325,1119,0
3126,1934,0
120,213,1
3325,1103,0
1926,2048,0
