,label,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,id
0,1,Belle Gueule Rousse,Brasseurs R.J.,American Amber / Red Ale,5.20 %,Belle Gueule Rousse,Brasseurs RJ,Amber Lager/Vienna,5.20 %,386#2204
1,1,British Knight Scotch Red Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,7.40 %,Oskar Blues British Knight Scotch Red Ale,Oskar Blues Brewery,Scottish Ale,7.40 %,2700#1380
2,1,Barrel Aged Chessie,Union Craft Brewing Company,American Barleywine,9.80 %,Union Craft Chessie Barleywine Barrel Aged,Union Craft Brewing Company,Barley Wine,9.80 %,4237#2466
3,1,Dark Horse Amber Ale,Dark Horse Brewing Company,American Amber / Red Ale,5.50 %,Dark Horse Amber Ale,Dark Horse Brewing Company,Amber Ale,5.50 %,61#2710
4,0,Red Alert,Aftershock Brewing Co. .,American Amber / Red Ale,5.20 %,Isle of Mull The Red Monk of Iona,Oban Bay &#40; Argyll Breweries &#41;,Amber Ale,4.20 %,2256#990
5,0,Trouser Punch Ale,3 Freaks Brewery,American Amber / Red Ale,5.20 %,8th Wonder Coffee Mocha Feight,8th Wonder Brewery,Amber Ale,-,3812#65
6,1,Cow Catcher Red,Mountain Town Station Brewing Co. & Steakhouse,American Amber / Red Ale,-,Mountain Town Cow Catcher Red Ale,Mountain Town Brewing Company,Amber Ale,5.80 %,2175#996
7,0,Trebek _ ™ s ` Stache Imperial Red,Holy City Brewing,American Amber / Red Ale,7.70 %,BridgePort Kingpin Double Red Ale,BridgePort Brewing,American Strong Ale,7.50 %,3410#2543
8,0,Feight,8th Wonder Brewery,American Amber / Red Ale,5.20 %,BridgePort Kingpin Double Red Ale,BridgePort Brewing,American Strong Ale,7.50 %,1054#2543
9,1,Neudorf Red Ale,Brasserie Bendorf,American Amber / Red Ale,-,Bendorf Neudorf Red Ale,Bendorf,Irish Ale,6 %,3758#2120
10,0,The Red C,Sloop Brewing,American Amber / Red Ale,6.70 %,Pair O _ Dice Hop Bet Red Ale &#40; Red IPA &#41;,Pair O _ Dice Brewing Company,Amber Ale,5.20 %,465#2754
11,1,Legends Of The Bay Giant 's Tomb,Hockley Valley Brewing Co. .,American Amber / Red Ale,5.00 %,Legends of the Bay Giant_s Tomb,Hockley Valley Brewing & Malting Company,Amber Ale,5 %,1042#55
12,0,Double Red,Ice Harbor Brewing Company,American Amber / Red Ale,6.80 %,Strawn Amber Ale,Strawn Brewing Company,Amber Ale,6 %,1437#2721
13,0,Scalehouse Red Ale,The Scalehouse Brewpub,American Amber / Red Ale,-,Big Choice Disconnected Red Ale,Big Choice Brewing,Amber Ale,6.70 %,1552#2610
14,0,Molly American Red Ale,New Helvetia Brewing Company,American Amber / Red Ale,5.00 %,Lake Norman Outboard Amber Ale,Lake Norman Brewing Company,Amber Ale,5.10 %,1433#789
15,0,Railyard Ale,Phantom Canyon Brewing Company,American Amber / Red Ale,-,Asher Tree Hugger Organic Amber,Asher Brewing Company,Amber Ale,6 %,551#2852
16,1,Ballistic Brewing Co. - Gorgon Red Ale,Indian Wells Brewing Company,American Amber / Red Ale,5.50 %,Ballistic Brewing Gorgon Red Ale,Indian Wells Brewing,Amber Ale,5.50 %,890#2580
17,0,Evil Owl Amber,Branchline Brewing Co. .,American Amber / Red Ale,5.20 %,Natty Greene_s Buckshot Amber Ale,Natty Greene_s Pub & Brewing Company,Amber Ale,4.90 %,459#2858
18,0,Indian Summer,Cayucos Brewing Company,American Amber / Red Ale,-,7 Barrios Amber,Cerveceria Lesnez,Amber Ale,5.10 %,3362#672
19,0,2011 Reserve Amber Ale,Endeavour Beverages,American Amber / Red Ale,6.20 %,Alaskan Taku River Red,Alaskan Brewing Company,Amber Ale,-,787#277
20,1,Red Ale Priprioca,Cervejaria AmazÃ ´ nia Ltda .,American Amber / Red Ale,6.00 %,Amazon Beer Priprioca Red Ale,Amazon Beer,Amber Ale,6 %,862#2906
21,0,16 | 03 Red Ale ( Mosaic & Chinook ),Brew By Numbers,American Amber / Red Ale,5.50 %,Amazon Beer Priprioca Red Ale,Amazon Beer,Amber Ale,6 %,2589#2906
22,1,Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 %,Acoustic Rock Steady Red Cider,Acoustic Brewing Company,Cider,6 %,1748#652
23,1,Heatwave Red Ale,La Quinta Brewing Co. .,American Amber / Red Ale,6.00 %,La Quinta Brewing Co. . Heatwave Red Ale,La Quinta Brewing Co. .,Amber Ale,6 %,1842#737
24,0,Ramblin ' Reck Amber Ale,Chicago Brewing Company,American Amber / Red Ale,4.50 %,Upland Rad Red Amber Ale,Upland Brewing Company,Amber Ale,5.60 %,680#1073
25,0,Hoggy Style Amber,Thr3e Wise Men,American Amber / Red Ale,5.00 %,Oakshire Amber,Oakshire Brewing,Amber Ale,5.40 %,1888#1566
26,0,Double Red Ale,The Seven Barrel Brewery,American Amber / Red Ale,8.20 %,Ringneck Red Alert Amber,The Brew Kettle,Amber Ale,5.30 %,1926#2015
27,0,Mankerbeer Red Ale,Beerbliotek,American Amber / Red Ale,6.00 %,Sasquatch Red Electric IRA,Sasquatch Brewing Company,Amber Ale,6.70 %,2981#378
28,0,Red Velvet Ale,Lofty Brewing Company,American Amber / Red Ale,5.40 %,Oak Creek Amber Ale,Oak Creek Brewing Co. .,Amber Ale,5.50 %,2916#1456
29,0,Jamaica Red Ale,Mad River Brewing Company,American Amber / Red Ale,6.50 %,Rock Art Stowe Mountain Lodge Hourglass Ale,Rock Art Brewery,Amber Ale,6 %,50#44
30,0,Red Beard Red Ale,Two Goats Brewing,American Amber / Red Ale,4.30 %,Denizens Big Red Norm,Denizens Brewing Company,Amber Ale,7.60 %,3846#141
31,0,Royal Red,The Lord Nelson Brewery Hotel,American Amber / Red Ale,4.10 %,Rare Bird Her Name Was Amber Ale,Rare Bird Brewery,Amber Ale,4.80 %,2844#1465
32,1,Bushfire American Red,Granite Falls Brewing Co. .,American Amber / Red Ale,5.00 %,Granite Falls Bushfire American Red Ale,Granite Falls Brewing Company,Amber Ale,5 %,2007#203
33,1,Eldred Rock Amber,Haines Brewing Company,American Amber / Red Ale,5.00 %,Haines Eldred Rock Amber,Haines Brewing Co. .,Amber Ale,5 %,1460#412
34,0,Gold Crest Amber Ale,Storz Trophy Room Grill & Brewery,American Amber / Red Ale,5.50 %,Peak Organic Amber Ale,Shipyard Brewing Company,Amber Ale,4.80 %,1567#691
35,0,Stepchild Red Ale,Third Street Aleworks,American Amber / Red Ale,5.60 %,Carson_s Amber Red,Carson_s Restaurant and Brewery,Amber Ale,-,1224#2185
36,1,Vital Infrared Imperial Red,Vital Brewing,American Amber / Red Ale,9.40 %,Vital Infrared Imperial Red,Vital Brewing,American Strong Ale,9.40 %,3800#2146
37,0,Dry Hop Red,Caldera Brewing Company,American Amber / Red Ale,5.70 %,Chorlton Sandalwood Ale,Chorlton Brewing Company,Amber Lager/Vienna,6.70 %,641#2216
38,0,Second Story,Former Future Brewing Company,American Amber / Red Ale,4.70 %,Barrel Harbor Red Ale,Barrel Harbor Brewing,Irish Ale,5.20 %,2135#2930
