ltable_id,rtable_id,label
982,2999,1
1931,810,1
190,805,1
1850,742,1
2909,1529,1
2175,996,1
4101,2360,1
890,2580,1
2689,1373,1
1672,590,1
3210,1737,1
4286,2362,1
3758,2120,1
4003,2284,1
4088,2351,1
2606,1320,1
1460,412,1
2362,1136,1
386,2204,1
2992,1590,1
1456,409,1
3802,2149,1
3800,2146,1
1648,571,1
120,213,1
3035,1620,1
1914,793,1
2463,1206,1
2289,1085,1
2506,1242,1
4157,2405,1
1157,155,1
294,1586,1
4237,2466,1
781,2835,1
2722,1393,1
480,2576,1
61,2710,1
418,2441,1
3079,1650,1
3622,2020,1
1004,20,1
1522,467,1
2491,1230,1
1748,652,1
2700,1380,1
3468,1921,1
1474,427,1
1030,43,1
3073,1647,1
1394,358,1
2163,985,1
2764,1423,1
2867,1493,1
3917,2224,1
271,1410,1
1780,685,1
2558,1284,1
563,1177,1
1621,548,1
2007,203,1
1042,55,1
3381,1859,1
1842,737,1
4063,2331,1
4161,2409,1
862,2906,1
2242,1048,1
