label,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,id
0,The House of Beorn ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,4:52,10-Dec-13,The Angels ' Share,George Fenton,The Angels ' Share ( Original Motion Picture Soundtrack ),Soundtracks,$ 0.99,2013 Shogun Music Limited,0:49,"May 20 , 2013",5340#44934
1,Jack Daniels and Jesus,Chase Rice,Ignite the Night,"Country , Music , Urban Cowboy , Contemporary Country",$ 1.29,2014 Dack Janiels Records,3:55,19-Aug-14,Jack Daniels and Jesus,Chase Rice,Ignite the Night,Country,$ 1.29,"( C ) 2014 Dack Janiels Records , under exclusive license to Sony Music Entertainment .",3:55,"August 19 , 2014",1683#23781
0,Medicated ( feat . Chevy Woods & Juicy J ),Wiz Khalifa,O.N.I.F.C.,"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",$ 1.29,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:30,4-Dec-12,O Holy Night,Yolanda Adams,Christmas With Yolanda Adams,R&B,$ 0.99,"2000 Elektra Entertainment Group Inc. , for the United States and WEA International , Inc. for the world outside of the United States .",4:57,"October 13 , 2000",3365#10431
1,Doin ' My Thing,Luke Bryan,Doin ' My Thing,"Country , Music , Contemporary Country",$ 1.29,"‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",3:09,2-Oct-09,Doin ' My Thing,Luke Bryan,Doin ' My Thing,Country,$ 1.29,( C ) 2009 Capitol Records Nashville,3:09,"October 2 , 2009",6234#13713
0,Applause ( Goldhouse Remix ),Lady Gaga,Applause ( Remixes ),"Pop , Music , Electronic , Rock",$ 1.29,2013 Interscope Records,4:34,30-Sep-13,Clarity [ feat . Foxes ],Zedd,Clarity ( Deluxe ),Dance & Electronic,$ 1.29,( C ) 2013 Interscope Records,4:31,"September 24 , 2013",3258#10507
0,Remember You ( feat . The Weeknd ),Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",$ 1.99,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:20,4-Dec-12,"Rise Above ( feat . Pharrell , Tuki Carter & Amber Rose ) [ Explicit ]",Wiz Khalifa,O.N.I.F.C. [ Explicit ],Rap & Hip-Hop,$ 1.29,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:31,"December 4 , 2012",3306#34349
1,One Mississippi ( Live from CMT `` Listen Up '' ),Brett Eldredge,Bring You Back,"Country , Music , Honky Tonk , Traditional Country , Contemporary Country",$ 1.29,2013 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:10,6-Aug-13,One Mississippi,Brett Eldredge,Bring You Back,Country,$ 1.29,2011 Toraay Records,3:45,"August 6 , 2013",3864#8306
0,Kill Everybody ( Bare Noize Remix ),Skrillex,Scary Monsters and Nice Sprites,"Dance , Music , House , Electronic",$ 1.29,"2010 Big Beat Records , Inc. for the United States and WEA International for the world outside the United States .",4:41,21-Dec-10,Come With Me,Flo Rida,Only One Flo ( Part 1 ) [ Deluxe ] [ + Video ] [ + Digital Booklet ],Rap & Hip-Hop,$ 1.29,2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:02,"November 26 , 2010",4744#35058
0,Fake ( Demo ),Shinedown,Us and Them ( Deluxe Version ),"Rock , Music , Metal , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,5:05,4-Oct-05,Good King Joy,Trans-Siberian Orchestra,The Christmas Trilogy,"Holiday , Christmas , Miscellaneous",$ 1.29,1998 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,6:35,"November 2 , 2004",1630#45920
0,"Why You Up In Here ( feat . Ludacris , Git Fresh & Gucci Mane )",Flo Rida,"Only One Flo , Pt. 1","Hip-Hop/Rap , Music , Rap , Dirty South",$ 1.29,2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:36,24-Nov-10,"Christmas Bells , Carousels & Time [ Instrumental ]",Trans-Siberian Orchestra,The Lost Christmas Eve,"Holiday , Christmas , Miscellaneous",$ 1.29,2013 Atlantic Recording Corporation For United States and WEA International For The World Outside of the United States . All Rights Reserved .,1:04,"October 12 , 2004",3571#48399
0,Medicated ( feat . Chevy Woods & Juicy J ),Wiz Khalifa,O.N.I.F.C.,"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",$ 1.29,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:30,4-Dec-12,Fly Solo [ Explicit ],Wiz Khalifa,Rolling Papers [ Explicit ],Rap & Hip-Hop,$ 1.29,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:20,"March 28 , 2011",3437#39361
0,The Edge of Glory,Lady Gaga,Born This Way,"Pop , Music , Rock , Dance",$ 1.29,‰ ãÑ 2014 Interscope Records,5:21,5-Aug-14,Release,The Black Eyed Peas,Bridging The Gap,Rap & Hip-Hop,$ 1.29,( C ) 2000 Interscope Records,5:08,"August 21 , 2015",6044#8264
0,Through the Ghost,Shinedown,The Studio Album Collection,"Rock , Music",$ 1.29,2013 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:01,8-Nov-13,The Wisdom Of Snow ( Instrumental ),Trans-Siberian Orchestra,The Christmas Trilogy,"Holiday , Christmas , Miscellaneous",$ 1.29,1998 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,2:01,"November 2 , 2004",1537#45974
1,G.U.Y.,Lady Gaga,ARTPOP,"Pop , Music , Dance , Rock",$ 1.29,‰ ãÑ 2013 Interscope Records,3:52,11-Nov-13,G.U.Y. [ Clean ],Lady Gaga,Artpop [ Clean ],Pop,$ 1.29,( C ) 2013 Interscope Records,3:52,"November 11 , 2013",6047#4667
0,Angel,The Weeknd,Beauty Behind the Madness,"R&B / Soul , Music",$ 1.29,"2015 The Weeknd XO , Inc. . Manufactured and Marketed by Republic Records , a Division of UMG Recordings , Inc.",6:17,28-Aug-15,Coming With You,Ne-Yo,Non-Fiction ( Deluxe ) [ Clean ],R&B,$ 1.29,"( C ) 2015 Motown Records , a Division of UMG Recordings , Inc.",4:19,"January 27 , 2015",4067#33865
0,Angel,The Weeknd,Beauty Behind the Madness,"R&B / Soul , Music",$ 1.29,"2015 The Weeknd XO , Inc. . Manufactured and Marketed by Republic Records , a Division of UMG Recordings , Inc.",6:17,28-Aug-15,My Girl ( Stereo ),The Temptations,Number 1 's,R&B,$ 1.29,"( C ) 2007 Motown Records , a Division of UMG Recordings , Inc.",2:55,"April 3 , 2007",4067#34192
1,The Whisperer ( feat . Sia ),David Guetta,Listen,"Dance , Music , Electronic , House , Rock , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",3:54,24-Nov-14,The Whisperer ( feat . Sia ),David Guetta,Listen ( Deluxe ),Dance & Electronic,$ 1.29,2015 If Moving Your Mine,3:54,"November 24 , 2014",1193#28008
1,Clean,Ryan Adams,1989,"Rock , Music",$ 1.29,2015 PaxAmericana Recording Company Under Exclusive License To Blue Note Records,4:23,21-Sep-15,Clean,Ryan Adams,1989,Rock,$ 1.29,( C ) 2015 PaxAmericana Recording Company Under Exclusive License To Blue Note Records,4:23,"September 21 , 2015",2222#815
1,Cameras,Wiz Khalifa,Rolling Papers,"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap",$ 1.29,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:29,28-Mar-11,Cameras [ Clean ],Wiz Khalifa,Rolling Papers [ Clean ],Rap & Hip-Hop,$ 1.29,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:29,"March 28 , 2011",3356#39335
1,Latch ( feat . Sam Smith ),Disclosure,Settle ( Deluxe Version ),"Electronic , Music",$ 1.29,"‰ ãÑ 2014 Universal Island Records , a division of Universal Music Operations Limited",4:15,15-Apr-14,Latch [ feat . Sam Smith ],Disclosure,Settle,"Electronica , Dance & Electronic",$ 1.29,"( C ) 2013 Universal Island Records , a division of Universal Music Operations Limited",4:15,"June 11 , 2013",5077#40465
0,Exclusive Video Content 2,Little Mix,Get Weird ( Deluxe Edition ),"Pop , Music , Rock , Dance , Teen Pop",Album Only,2015 Simco Limited under exclusive licence to Sony Music Entertainment UK Limited,--,,Credit,Meghan Trainor,Title ( Deluxe ),Pop,$ 1.29,"2011 What A Music Ltd , licence exclusive Parlophone Music France",2:51,"January 9 , 2015",2802#50745
0,Livin ' Part of Life,Eric Church,Chief / Caught In the Act / Carolina / Sinners Like Me,"Country , Music , Rock , Southern Rock , Contemporary Country",$ 1.29,2013 Capitol Nashville,4:29,17-Dec-13,Where She Told Me To Go,Eric Church,Carolina,"Country , Southern Rock , Classic Rock",$ 1.29,( C ) 2009 Capitol Records Nashville,4:48,"March 24 , 2009",3815#9714
1,You Gon na Fly,Keith Urban,Get Closer ( Deluxe Version ),"Country , Music , Honky Tonk , Pop , Pop/Rock , Contemporary Country , Rock",$ 1.29,"‰ ãÑ 2010 Hit Red Records under exclusive license to Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37",3:36,22-Feb-11,You Gon na Fly,Keith Urban,Get Closer ( Deluxe Version ),Country,$ 1.29,( C ) 2011 Hit Red Records under exclusive license to Capitol Records Nashville,3:36,"February 22 , 2011",5885#19151
0,The Lady Is a Tramp,Tony Bennett & Lady Gaga,Sixty Years : The Artistry of Tony Bennett,"Vocal Pop , Music , Vocal , Standards , Jazz , Vocal Jazz",$ 1.29,"This Compilation ( P ) 2013 Columbia Records , a division of Sony Music Entertainment",3:16,4-Oct-13,Bein ' Green,Tony Bennett,60 Years : The Artistry of Tony Bennett,Jazz,$ 0.99,Ministry of Sound Recordings Ltd,2:35,"October 4 , 2013",3253#1998
1,Who I Am With You,Chris Young,A.M.,"Country , Music , Urban Cowboy , Contemporary Country",$ 1.29,‰ ãÑ 2013 Sony Music Entertainment,3:13,16-Sep-13,Who I Am With You,Chris Young,A.M.,Country,$ 1.29,"( C ) 2010 Hollywood Records , Inc.",3:11,"September 16 , 2013",5001#3099
1,Going Away For a While,Brett Eldredge,Illinois,"Country , Music , Contemporary Country , Honky Tonk , Traditional Country",$ 1.29,2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:13,11-Sep-15,Going Away For A While,Brett Eldredge,Illinois,Country,$ 1.29,( c ) Phonotype,3:15,"September 11 , 2015",3870#23889
1,Going Away For a While,Brett Eldredge,Illinois,"Country , Music , Contemporary Country , Honky Tonk , Traditional Country",$ 1.29,2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:13,11-Sep-15,Going Away For A While,Brett Eldredge,Illinois,Country,$ 1.29,( c ) Phonotype,3:15,"September 11 , 2015",3870#23901
0,Young Boy Talk,Wiz Khalifa,Deal Or No Deal,"Hip-Hop , Music,Hip-Hop / Rap , Hardcore Rap",$ 1.29,Rostrum Records 2009,3:23,24-Nov-09,Runaway ( U & I ),Joe Budden,Long Weekend : EDM,Rap & Hip-Hop,$ 1.29,2010 Traumashop,3:47,,3391#29050
0,Touch Me,Flo Rida,R.O.O.T.S. ( Deluxe Version ),"Hip-Hop/Rap , Music",$ 1.29,‰ ãÑ 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:10,30-Mar-09,"I Do n't Like It , I Love It ( feat . Robin Thicke & Verdine White ) [ Noodles Remix ]",Flo Rida,"I Do n't Like It , I Love It ( feat . Robin Thicke & Verdine White ) [ Noodles Remix ]",Dance & Electronic,$ 1.29,2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:27,"June 23 , 2015",5703#23084
1,"I Do n't Like It , I Love It ( feat . Robin Thicke & Verdine White ) [ Kasum Remix ]",Flo Rida,"I Do n't Like It , I Love It ( feat . Robin Thicke & Verdine White ) [ Kasum Remix ] - Single","Dance , Music",$ 1.29,2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:19,10-Jul-15,"I Do n't Like It , I Love It ( feat . Robin Thicke & Verdine White ) [ Noodles Remix ]",Flo Rida,"I Do n't Like It , I Love It ( feat . Robin Thicke & Verdine White ) [ Noodles Remix ]",Dance & Electronic,$ 1.29,2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:27,"June 23 , 2015",3507#23084
1,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,VHS Outro ( Interlude ) [ Explicit ],X Ambassadors,VHS [ Explicit ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,1:25,"June 30 , 2015",110#53087
1,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,VHS Outro ( Interlude ) [ Explicit ],X Ambassadors,VHS [ Explicit ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,1:25,"June 30 , 2015",249#53087
0,Kanye ( feat . sirenXX ) [ Reece Low Remix ],The Chainsmokers,Kanye ( Remixes Part 2 ) [ feat . sirenXX ] - Single,"Electronic , Music",$ 1.29,"2014 Dim Mak Inc. under exclusive license to Republic Records , a Division of UMG Recordings , Inc.",4:11,10-Nov-14,Keep Our Love Alive,Afrojack,Forget The World [ Explicit ],Dance & Electronic,$ 1.29,"( C ) 2014 Van de Wall International Ltd. under exclusive license to PM : AM Recordings/Universal Music BV/Def Jam Recordings , a division of UMG Recordings Inc.",4:13,"May 19 , 2014",2582#18228
1,Remember You ( feat . The Weeknd ),Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),"Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",$ 1.99,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:20,4-Dec-12,Remember You ( feat . The Weeknd ) [ Explicit ],Wiz Khalifa,O.N.I.F.C. [ Explicit ],Rap & Hip-Hop,$ 1.29,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:49,"December 4 , 2012",3421#34320
