ltable_id,rtable_id,label
395,1768,1
1234,12408,1
1341,8497,1
1093,13748,1
1719,12857,1
596,14870,1
1906,7801,1
595,20844,1
1785,11404,1
2104,2964,1
723,12996,1
469,20646,1
475,18530,1
2156,4510,1
1973,3591,1
1535,1091,1
2508,5039,1
932,6452,1
524,7631,1
1559,4509,1
1267,4233,1
2122,4433,1
538,791,1
1386,17537,1
1467,13593,1
1844,9692,1
2244,482,1
1154,13246,1
1923,20241,1
2344,4785,1
2041,9551,1
1642,11045,1
2333,18201,1
1479,1767,1
1965,14804,1
1502,5286,1
1440,19655,1
2325,20694,1
1418,7249,1
2141,6966,1
314,8871,1
425,8535,1
2107,1254,1
1611,10451,1
247,19032,1
89,3270,1
1316,7784,1
499,5578,1
1629,6289,1
1194,4494,1
331,16953,1
640,7372,1
1008,11117,1
2202,17199,1
1146,4788,1
2409,6809,1
1397,2439,1
2197,19485,1
604,21732,1
1937,18141,1
2230,14756,1
2220,246,1
318,1083,1
247,13590,1
1316,15123,1
2232,17840,1
1108,12701,1
710,1097,1
89,18981,1
786,10846,1
2089,22026,1
1317,4507,1
1950,17303,1
1705,16232,1
337,20175,1
195,20940,1
2015,11741,1
2210,17163,1
1698,16579,1
1695,20398,1
2095,15248,1
1704,17702,1
432,18465,1
854,6748,1
1721,20523,1
2417,5900,1
236,21784,1
726,16801,1
397,7150,1
1209,18171,1
222,16625,1
541,9384,1
1164,6863,1
2093,13768,1
1696,17275,1
1288,15034,1
1335,8619,1
34,11684,1
1885,17579,1
1529,16917,1
1935,9579,1
837,8740,1
1209,3255,1
1719,8846,1
1652,13805,1
2406,18333,1
1281,7638,1
2483,19120,1
863,5783,1
92,17688,1
865,11895,1
348,14459,1
740,11688,1
484,9131,1
1002,6639,1
560,20714,1
532,19818,1
322,20698,1
2365,16367,1
1427,10693,1
551,19540,1
81,6527,1
2018,16794,1
320,21484,1
2354,13477,1
1125,15648,1
115,9224,1
1238,6975,1
109,12442,1
2005,19521,1
1791,19801,1
2379,11831,1
482,14854,1
35,3068,1
1483,8567,1
1523,21030,1
464,11441,1
585,966,1
1023,12117,1
2528,13283,1
562,18153,1
1143,14278,1
646,6761,1
1608,13173,1
2482,6886,1
2408,12312,1
1909,20112,1
1695,11027,1
16,4283,1
377,9390,1
927,4427,1
2517,20310,1
