label,ltable_brand,ltable_modelno,ltable_title,ltable_price,ltable_dimensions,ltable_imageurl,ltable_shipweight,rtable_brand,rtable_modelno,rtable_title,rtable_price,rtable_dimensions,rtable_imageurl,rtable_shipweight,id
1,Sony,DPW30R2H,Sony DPW30R2H 1.4GB Camcorder 8cm DVD RW,8.88,4.0 x 3.6 x 0.25 inches,http://i.walmartimages.com/i/p/00/02/72/42/66/0002724266644_300X300.jpg,0.18,Sony,DPW30R2H,Sony Dpw30R2H 1.4 Gb Camcorder 8Cm Dvd Rw Single,3.49,3.9 x 3.5 x 0.3 inches,http://ecx.images-amazon.com/images/I/51SDD1DW7AL._SL500_AA300_.jpg,1 pounds,2354#13477
0,,,BIC Triumph 537R 0.7mm Roller Pen Blue 4 Ct. 2-Pack,7.76,,http://i.walmartimages.com/i/p/11/13/00/02/48/1113000248223_300X300.jpg,,Skinit,SKNUCFXXX01IPADXX,Skinit Protective Skin Fits Ipad University of Central Florida Usf Logo,29.99,18.0 x 13.0 x 0.1 inches,http://ecx.images-amazon.com/images/I/41LCq7IYlmL._SL500_AA300_.jpg,1 pounds,170#16062
0,Master Caster,972,Master Caster Big Foot No-Slip Rubber Wedge Gray 2pk,8.79,7.5 x 4.875 x 1.25 inches,http://i.walmartimages.com/i/p/00/03/42/38/00/0003423800972_300X300.jpg,0.375,Transcend,TS4GJF560,TRANSCEND FLASH 4GB JetFlash 560 Capless checker pattern fabulous USB Drive - TS4GJF560,17.39,1.8 x 0.9 x 0.3 inches,http://ecx.images-amazon.com/images/I/41JXcXq91iL._SL500_AA300_.jpg,1 pounds,2258#2600
1,Master Caster,972,Master Caster Big Foot No-Slip Rubber Wedge Gray 2pk,8.79,7.5 x 4.875 x 1.25 inches,http://i.walmartimages.com/i/p/00/03/42/38/00/0003423800972_300X300.jpg,0.375,Master Caster,,Master Caster 00972 - Big Foot Doorstop No-Slip Rubber Wedge 2-1 4w x 4-3 4d x 1-1 4h Gray 2 Pack,,,http://ecx.images-amazon.com/images/I/310DBp-rkNL._SL500_AA300_.jpg,1.8 pounds,2258#8357
0,Swingline,74030,Swingline Light Touch Desktop 2- or 3-Hole Adjustable Punch,21.94,,http://i.walmartimages.com/i/p/00/05/05/05/74/0005050574030_300X300.jpg,2.742,I Concepts,81250NS,I Concepts 81250Ns Wheel Scroll Optical Mouse,9.99,8.2 x 5.2 x 2.5 inches,http://ecx.images-amazon.com/images/I/4191HrcTkLL._SL500_AA300_.jpg,1 pounds,1457#21798
0,StarTech,SAT3510BU2V,StarTech.com SAT3510BU2V USB to SATA External Hard Drive Enclosure,28.88,9.0 x 6.75 x 2.7 inches,http://i.walmartimages.com/i/p/00/06/50/30/83/0006503083598_300X300.jpg,1.5,AMP,06-CE-MAK1,Mobile Accessory Kit,31.39,,http://g-ecx.images-amazon.com/images/G/01/nav2/dp/no-image-avail-img-map._V192545771_AA300_.gif,5 pounds,1582#14870
1,Amp Energy,06-CE-MAK1,Hoffco 06-CE-MAK1 Mobile Accessory Kit,38.88,10.5 x 8.25 x 1.5 inches,http://i.walmartimages.com/i/p/00/68/49/17/60/0068491760591_300X300.jpg,5.0,AMP,06-CE-MAK1,Mobile Accessory Kit,31.39,,http://g-ecx.images-amazon.com/images/G/01/nav2/dp/no-image-avail-img-map._V192545771_AA300_.gif,5 pounds,596#14870
0,StarTech,SAT3510BU2V,StarTech.com SAT3510BU2V USB to SATA External Hard Drive Enclosure,28.88,9.0 x 6.75 x 2.7 inches,http://i.walmartimages.com/i/p/00/06/50/30/83/0006503083598_300X300.jpg,1.5,Whistler,Pro-800W,Whistler Pro-800W 800 Watt Power Inverter,48.45,5.5 x 3.7 x 2.0 inches,http://ecx.images-amazon.com/images/I/51xnaRQTaBL._SL500_AA300_.jpg,5 pounds,1582#1628
0,StarTech,SAT3510BU2V,StarTech.com SAT3510BU2V USB to SATA External Hard Drive Enclosure,28.88,9.0 x 6.75 x 2.7 inches,http://i.walmartimages.com/i/p/00/06/50/30/83/0006503083598_300X300.jpg,1.5,Innovera,,Innovera 99650 - Heavyweight Photo Paper Matte 8-1 2 x 11 50 Sheets Pack,29.73,,http://ecx.images-amazon.com/images/I/41ZS9u4uaiL._SL500_AA300_.jpg,4.8 pounds,1582#17195
1,INNOVERA,99650,Innovera Heavyweight Photo Paper Matte 8-1 2 x 11 50 Sheets Pack,11.7,,http://i.walmartimages.com/i/p/00/68/60/24/99/0068602499650_300X300.jpg,2.01,Innovera,,Innovera 99650 - Heavyweight Photo Paper Matte 8-1 2 x 11 50 Sheets Pack,29.73,,http://ecx.images-amazon.com/images/I/41ZS9u4uaiL._SL500_AA300_.jpg,4.8 pounds,82#17195
