ltable_id,rtable_id,label
2354,13477,1
170,16062,0
2258,2600,0
1457,21798,0
1582,14870,0
303,16642,1
1603,10609,1
1045,20512,0
1248,1699,0
330,7315,1
1672,20795,1
1188,5480,1
1400,1696,0
523,14015,1
905,7185,0
921,18882,0
1844,4901,1
2081,16296,1
1523,17969,0
625,4040,1
346,8387,1
265,16641,1
98,15905,1
1456,21480,0
1762,4577,1
922,12732,0
86,9497,1
1287,16536,1
2197,19485,1
1546,21375,1
322,18468,0
1606,8138,0
298,15654,1
1865,4267,0
473,15368,1
1176,19246,1
984,18365,1
1292,17830,1
770,3060,0
145,7971,1
168,15438,1
1209,16936,1
54,17893,1
1908,10482,1
2409,5519,1
612,8430,1
1022,14975,0
2550,19120,1
2090,7049,1
482,14854,1
1481,2680,0
786,10846,1
1181,4538,1
207,8871,0
2089,22026,1
1886,2011,1
1687,17666,1
21,12001,0
2118,14558,1
1170,6033,0
454,4893,1
331,15875,0
2202,17199,1
2470,21669,0
1505,4818,1
2342,18653,0
2154,5959,0
2152,17918,0
184,10897,0
1885,17579,1
271,1177,0
2276,19663,1
2215,18652,0
1912,9859,0
1360,11636,0
260,15591,0
1538,11720,0
1379,9183,0
1299,8456,1
1806,8808,0
2011,5629,0
1773,2223,1
2143,13935,1
2478,4885,1
705,9170,0
2261,13723,1
192,11198,1
1198,4815,1
626,18444,1
1894,3163,0
1247,21595,1
723,12996,1
1408,13979,0
1114,11148,0
1104,17887,0
1758,5813,0
285,21551,0
1289,21331,0
1910,11285,1
2028,17301,0
1945,15666,0
1253,9636,1
2053,6287,1
2189,2672,1
397,8724,0
251,9162,0
2104,2964,1
2179,11142,0
665,2385,0
1196,5365,1
2295,13506,0
2038,8520,1
173,13978,0
26,6985,1
2380,265,1
1984,6914,1
1103,7854,1
918,17804,0
2194,5683,1
1149,16757,1
363,3101,0
218,4567,0
2074,17210,0
548,9296,1
2536,10181,0
16,4283,1
1243,255,0
2091,5286,0
860,11242,0
2141,6966,1
2084,14540,1
1378,12162,1
1895,1173,0
704,6783,0
2345,13584,0
1160,11710,0
1467,11642,1
2382,11720,0
2115,1052,0
1081,14455,1
2393,17952,0
160,9710,1
688,7115,0
766,2839,0
504,21763,0
1478,19585,0
799,6374,1
457,1741,0
428,14576,0
834,19842,0
1432,3258,0
756,14648,0
474,10149,0
1154,13246,1
1510,9333,1
347,8305,1
2184,10974,1
726,16278,1
1928,19027,1
752,16087,0
1523,21030,1
1889,6730,1
1343,4205,0
2380,1419,0
1852,6217,0
1113,10801,1
1851,17489,1
1902,10883,1
1826,4428,0
989,14079,0
177,4855,1
1598,7327,0
219,5047,1
40,19984,0
365,20103,0
1110,8092,1
2483,19120,1
1368,12147,1
2050,13580,0
1234,12408,1
295,19912,1
908,1880,0
2015,11741,1
1603,21372,0
2179,20047,0
156,12846,0
2544,21426,0
1932,11215,1
262,20660,0
707,20242,0
1607,18688,1
578,19368,1
1695,3794,1
551,2556,1
1262,8267,1
1973,3594,1
598,22044,1
917,20840,0
105,11792,1
43,173,1
2178,13809,0
1107,45,0
1278,1881,1
917,10374,0
1321,9561,0
1904,10894,0
1973,3591,1
777,8334,0
1752,11396,0
2504,11456,0
2454,7164,0
2051,21913,1
892,4736,0
730,19113,0
1614,17219,1
863,11819,1
2544,10036,0
2277,12761,1
549,3415,1
1127,826,0
2156,4319,1
180,8546,1
798,20078,0
2013,9181,0
381,8578,0
528,486,1
132,5596,1
610,6595,0
1869,4495,1
609,8369,0
1283,1241,1
171,14869,0
2133,7359,1
322,20698,1
1310,6885,0
1296,6406,1
1629,6289,1
1691,4227,1
1064,3146,1
1402,11414,0
2253,16478,0
2326,6905,0
2553,5589,0
1074,2523,1
785,21197,1
1139,9086,1
261,3778,1
6,2725,0
1702,16442,0
1972,11255,0
2084,8687,0
2345,4985,1
1842,2327,1
819,980,1
246,5734,0
66,7157,1
1479,17554,0
283,17074,0
2142,19881,0
2475,7287,0
400,21147,0
58,5757,0
1529,812,1
637,9152,1
525,23,0
1860,3314,0
2210,9068,0
873,4194,0
1933,9241,0
87,7611,1
1300,15463,1
149,18937,1
1981,1503,1
834,18900,1
1794,17053,0
2446,9408,0
1585,11476,1
1993,1275,1
405,7625,0
1806,16871,0
1989,9475,1
1216,11081,0
1875,14195,1
702,6046,0
35,3068,1
1462,3781,1
1119,947,0
1066,10601,1
1008,5345,0
1398,20806,1
416,20386,1
2541,5176,1
174,1250,1
1257,9875,0
390,10544,1
904,16990,1
469,20646,1
1723,19459,0
2297,2315,0
1654,1650,1
2101,20732,1
2520,2669,1
414,12839,0
449,4108,0
109,21710,1
599,1108,0
2245,13121,0
524,7631,1
4,4379,1
738,6760,1
1573,5355,0
1615,11351,1
2012,13508,0
499,5578,1
2022,17375,1
848,21925,0
1012,13414,1
1110,6058,1
948,9062,0
520,5993,0
932,6452,1
1243,15059,0
258,3206,0
689,4784,1
1249,1464,0
2335,12960,0
2408,12312,1
1561,19670,1
588,7393,0
810,11920,0
811,11429,1
1501,2733,0
993,21486,0
476,12747,1
1388,10995,0
711,2946,1
604,6694,0
636,5486,0
115,5713,0
1025,9964,0
1894,11121,1
1178,11213,0
376,5042,1
2041,9551,1
2361,17906,1
1403,20184,1
1910,20494,1
2218,18301,1
505,15432,1
2340,17788,0
657,9135,0
1989,2477,1
2055,7602,1
785,12734,1
859,8567,0
557,9517,0
1249,16299,1
514,10772,0
2312,5621,0
2112,3378,1
2546,5409,0
2224,4942,0
389,1451,1
323,9991,1
377,9390,1
1830,19354,1
1848,19609,0
131,9891,1
1592,3206,1
2055,5343,0
1684,12363,0
673,2945,1
906,14936,0
2180,18388,1
2318,15826,1
987,6670,1
2094,11401,1
1906,7801,1
2187,14347,0
2504,20052,1
2019,11228,1
94,2084,0
655,13502,0
600,557,1
1479,1767,1
1364,2560,0
501,17462,0
707,699,0
2166,21077,1
1258,19012,0
220,8697,1
2257,8369,0
430,3274,1
1946,21159,0
2441,6644,1
2325,20694,1
108,12091,1
1023,19379,0
2357,20775,0
1618,880,0
212,401,1
1198,3088,0
20,13058,1
1195,14917,1
1590,21064,0
529,77,1
1283,15889,0
2514,1917,0
2341,21507,0
1511,19043,1
2200,20396,1
2524,13799,0
1014,9348,0
1536,19000,1
2168,14881,1
229,10432,0
1430,4938,0
1476,8651,1
470,2721,1
152,692,1
485,7160,0
157,7519,0
2328,8545,1
721,13399,1
22,21317,0
1961,12345,0
798,6509,1
1194,5593,1
896,12464,1
1212,19086,0
1293,18603,1
1520,13760,0
370,14836,0
1386,17537,1
1667,1348,0
1682,13298,1
440,7488,0
2319,6041,0
1693,2974,0
1494,20757,0
1716,20592,1
2095,15248,1
1550,18949,1
2343,639,1
927,2237,0
1674,17535,0
2333,2220,0
1981,4279,1
1669,10127,0
1553,9157,1
940,10725,0
436,5501,0
448,13175,1
179,19150,1
2326,15381,0
2316,6120,0
349,6601,0
1750,1541,0
2072,8815,1
2382,20355,0
1702,16751,0
1940,20178,1
1584,20144,0
1152,18331,1
624,14736,1
1868,1402,0
9,17299,0
135,3741,1
2345,14945,1
873,15269,1
2395,13252,1
2378,2910,0
425,8535,1
2194,9731,1
1526,12544,1
1739,20133,1
2549,19118,1
2134,8991,1
2245,595,1
1233,11588,0
397,17849,1
96,10967,1
824,1592,0
1463,16005,0
2122,10721,0
1055,10015,0
945,14178,1
1032,13439,1
1783,11732,0
2283,16385,0
1309,572,0
90,3635,0
849,603,1
2001,14203,1
1642,11045,1
1582,1628,0
407,2400,0
2328,1418,0
1166,3696,1
1504,19396,0
1045,10512,0
1777,13180,1
1415,2486,1
1687,15797,0
59,20814,0
1617,12413,0
1651,20345,0
2546,17975,0
1306,2559,1
1622,16059,1
414,1678,1
833,4598,1
337,5975,0
449,13174,1
806,14295,1
1381,21499,0
1530,10951,0
1220,18642,0
482,987,1
376,10286,0
546,13190,0
455,6086,0
1143,14278,1
1006,11658,1
1208,6899,1
2469,17619,0
879,1681,0
1910,15027,0
1167,3904,1
1069,19165,0
2185,11690,1
2210,17163,1
1969,10525,1
335,10662,1
1395,19581,1
2538,14823,0
1685,17949,1
1401,14944,1
2265,19008,1
1909,19435,0
719,12892,0
2463,14118,1
2484,11842,1
1540,4757,1
2121,19316,0
998,15143,0
1119,14007,0
2158,18670,0
1201,18989,0
1513,20845,1
1045,3010,1
2417,5900,1
1218,5250,1
1535,1091,1
512,1393,1
2029,12892,1
2365,16367,1
685,10006,0
802,10264,0
1904,10675,1
2044,3580,0
1661,11173,1
1347,4952,0
900,16918,0
1896,7661,1
1504,6717,0
469,21618,0
1425,8193,1
590,15496,1
2255,346,1
341,721,0
1977,1431,0
127,1556,1
1210,14110,1
586,14868,1
329,14370,1
601,4692,1
2388,20822,1
1884,19124,1
1191,19360,0
936,6138,0
616,17520,1
2540,10706,1
1809,7936,0
2203,2399,0
1616,12974,1
1561,20893,0
1574,5416,1
1839,15292,0
2482,6886,1
563,11559,0
1727,18464,1
456,19348,1
1418,9809,0
557,6722,1
447,5775,1
1281,17950,1
43,10131,0
1999,18987,0
2055,3093,0
942,9875,0
876,4227,1
1125,12583,0
772,5518,1
352,10049,1
1687,5543,0
718,20107,1
2186,6131,0
2249,8369,1
2017,18835,0
2528,13283,1
949,20348,0
1965,14804,1
2134,10435,1
2346,16293,0
2089,17264,1
1827,10441,0
1895,16053,0
308,10883,0
1435,11663,0
1826,16304,0
79,12348,1
1958,17571,1
1156,14762,0
1852,13349,1
1264,22052,1
1391,21975,0
1296,5556,0
240,10618,1
2220,246,1
1321,13883,0
1418,12327,0
1572,6999,1
2316,9549,1
376,2875,0
1210,9718,1
399,16515,1
1164,6863,1
1758,2367,0
2213,5868,0
942,2806,1
1806,12885,0
2147,6471,1
2397,1005,0
733,19582,0
1440,19655,1
899,15336,1
1440,19643,0
357,21592,1
1361,10682,0
1993,6496,0
2074,13797,0
287,18627,1
2539,2280,1
1809,10377,0
1150,9482,1
827,21048,0
1089,1225,0
1295,6291,0
107,19853,0
1923,17059,0
2460,1684,0
1765,12699,0
424,15516,0
582,1646,0
589,20109,1
1109,10673,1
94,8351,1
2165,3695,1
194,11485,0
223,11622,0
1793,8495,1
2107,1254,1
2022,19356,0
176,9925,0
2409,6809,1
289,3025,0
1611,10451,1
1738,1983,0
1036,21948,1
1877,20485,0
232,10437,1
1610,2510,1
1425,15278,0
678,19930,0
659,21943,1
663,17259,1
1312,14761,1
527,21951,0
1838,13678,1
362,9400,0
1250,9679,0
1219,5268,1
1988,10906,1
2523,3325,1
1120,3472,1
781,14279,1
1182,6847,0
1414,1476,0
293,8004,0
1108,12701,1
2120,20315,1
2191,21662,1
1476,12655,1
2267,13319,1
562,18153,1
1269,21905,0
596,14870,1
604,21732,1
1482,7901,0
508,11954,1
308,17085,0
2126,16073,1
669,345,0
1132,20671,0
1369,12443,1
2548,6329,0
1057,12447,0
1485,10313,0
2125,11565,1
516,11137,0
706,12896,1
743,8236,1
2338,11501,0
861,17334,0
1368,15110,0
2085,8988,1
1499,2971,0
2275,357,1
2386,7063,0
1150,11327,0
