,0
title,0.9398907103825137
description,0.12568306010928962
manufacturer,0.01092896174863388
price,0.01639344262295082
title/description,0.9562841530054644
title/manufacturer,0.9344262295081968
title/price,0.9289617486338798
description/manufacturer,0.14207650273224043
description/price,0.13114754098360656
manufacturer/price,0.02185792349726776
title/description/manufacturer,0.9617486338797814
title/description/price,0.9562841530054644
title/manufacturer/price,0.9289617486338798
description/manufacturer/price,0.1366120218579235
