ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,originalRightId
Lifestreams: A Storage Model for Personal Data,"Eric Freeman, David Gelernter",SIGMOD Record,1996,Database Principles Column - Introduction,"Eric Freeman, David Gelernter",ACM SIGMOD Record ,1996,"('title',)",1@381893
Lifestreams: A Storage Model for Personal Data,"Eric Freeman, David Gelernter",SIGMOD Record,1996,Database Principles Column - Introduction,Leonid Libkin,ACM SIGMOD Record ,1996,"('title', 'authors')",1@381893
Lifestreams: A Storage Model for Personal Data,"Eric Freeman, David Gelernter",SIGMOD Record,1996,Database Principles Column - Introduction,"Eric Freeman, David Gelernter",SIGMOD Record,1996,"('title', 'venue')",1@381893
Lifestreams: A Storage Model for Personal Data,"Eric Freeman, David Gelernter",SIGMOD Record,1996,Database Principles Column - Introduction,"Eric Freeman, David Gelernter",ACM SIGMOD Record ,1999,"('title', 'year')",1@381893
Lifestreams: A Storage Model for Personal Data,"Eric Freeman, David Gelernter",SIGMOD Record,1996,Database Principles Column - Introduction,Leonid Libkin,SIGMOD Record,1996,"('title', 'authors', 'venue')",1@381893
Lifestreams: A Storage Model for Personal Data,"Eric Freeman, David Gelernter",SIGMOD Record,1996,Database Principles Column - Introduction,Leonid Libkin,ACM SIGMOD Record ,1999,"('title', 'authors', 'year')",1@381893
Lifestreams: A Storage Model for Personal Data,"Eric Freeman, David Gelernter",SIGMOD Record,1996,Database Principles Column - Introduction,"Eric Freeman, David Gelernter",SIGMOD Record,1999,"('title', 'venue', 'year')",1@381893
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,XML Repository and Active Views Demonstration,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",Very Large Data Bases,2000,"('title',)",1@671839
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,XML Repository and Active Views Demonstration,"Bruno Tessier, Am�lie Marian, Brendan Hills, Sophie Cluet, Jean-Claude Mamou, Bernd Amann, Anne-Marie Vercoustre, Fr�d�ric Hubert, Vincent Aguilera, Laurent Mignet, Serge Abiteboul, S�bastien Ailleret, Tova Milo, Cassio Souza dos Santos",Very Large Data Bases,2000,"('title', 'authors')",1@671839
Push Technology Personalization through Event Correlation,"Asaf Adi, David Botzer, Tali Yatzkar-Haham, Opher Etzion",VLDB,2000,XML Repository and Active Views Demonstration,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",VLDB,2000,"('title', 'venue')",1@671839
