ltable_label,ltable_lat,ltable_lon,ltable_ontology,ltable_ele,rtable_label,rtable_lat,rtable_lon,rtable_ontology,rtable_ele,alteredAttributes,originalRightId
Beaune,47.025,4.83972,http://dbpedia.org/,,Mustique,47.0333,4.83333,http://data.nytimes.com/,,"('label',)",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,Beaune (France),47.0333,4.83333,http://dbpedia.org/,,"('ontology',)",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,Mustique,12.8667,4.83333,http://data.nytimes.com/,,"('label', 'lat')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,Mustique,47.0333,-61.1833,http://data.nytimes.com/,,"('label', 'lon')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,Mustique,47.0333,4.83333,http://dbpedia.org/,,"('label', 'ontology')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,Mustique,47.0333,4.83333,http://data.nytimes.com/,,"('label', 'ele')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,Beaune (France),12.8667,4.83333,http://dbpedia.org/,,"('lat', 'ontology')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,Beaune (France),47.0333,-61.1833,http://dbpedia.org/,,"('lon', 'ontology')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,Beaune (France),47.0333,4.83333,http://dbpedia.org/,,"('ontology', 'ele')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,Mustique,12.8667,-61.1833,http://data.nytimes.com/,,"('label', 'lat', 'lon')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,Mustique,12.8667,4.83333,http://dbpedia.org/,,"('label', 'lat', 'ontology')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,Mustique,12.8667,4.83333,http://data.nytimes.com/,,"('label', 'lat', 'ele')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,Mustique,47.0333,-61.1833,http://dbpedia.org/,,"('label', 'lon', 'ontology')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,Mustique,47.0333,-61.1833,http://data.nytimes.com/,,"('label', 'lon', 'ele')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,Mustique,47.0333,4.83333,http://dbpedia.org/,,"('label', 'ontology', 'ele')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,Beaune (France),12.8667,-61.1833,http://dbpedia.org/,,"('lat', 'lon', 'ontology')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,Beaune (France),12.8667,4.83333,http://dbpedia.org/,,"('lat', 'ontology', 'ele')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,Beaune (France),47.0333,-61.1833,http://dbpedia.org/,,"('lon', 'ontology', 'ele')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,louisville,47.0333,4.83333,http://data.nytimes.com/,,"('label',)",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,louisville,38.2542,4.83333,http://data.nytimes.com/,,"('label', 'lat')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,louisville,47.0333,-85.7594,http://data.nytimes.com/,,"('label', 'lon')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,louisville,47.0333,4.83333,http://rdf.freebase.com/,,"('label', 'ontology')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,louisville,47.0333,4.83333,http://data.nytimes.com/,,"('label', 'ele')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,louisville,38.2542,-85.7594,http://data.nytimes.com/,,"('label', 'lat', 'lon')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,louisville,38.2542,4.83333,http://rdf.freebase.com/,,"('label', 'lat', 'ontology')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,louisville,38.2542,4.83333,http://data.nytimes.com/,,"('label', 'lat', 'ele')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,louisville,47.0333,-85.7594,http://rdf.freebase.com/,,"('label', 'lon', 'ontology')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,louisville,47.0333,-85.7594,http://data.nytimes.com/,,"('label', 'lon', 'ele')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,louisville,47.0333,4.83333,http://rdf.freebase.com/,,"('label', 'ontology', 'ele')",0@4190
Beaune,47.025,4.83972,http://dbpedia.org/,,Beaune (France),38.2542,-85.7594,http://rdf.freebase.com/,,"('lat', 'lon', 'ontology')",0@4190
bordeaux,44.8386,-0.578333,http://rdf.freebase.com/,,qingdao,44.8333,-0.566667,http://data.nytimes.com/,,"('label',)",0@1117
bordeaux,44.8386,-0.578333,http://rdf.freebase.com/,,Bordeaux (France),44.8333,-0.566667,http://rdf.freebase.com/,,"('ontology',)",0@1117
bordeaux,44.8386,-0.578333,http://rdf.freebase.com/,,qingdao,36.0833,-0.566667,http://data.nytimes.com/,,"('label', 'lat')",0@1117
bordeaux,44.8386,-0.578333,http://rdf.freebase.com/,,qingdao,44.8333,120.333,http://data.nytimes.com/,,"('label', 'lon')",0@1117
bordeaux,44.8386,-0.578333,http://rdf.freebase.com/,,qingdao,44.8333,-0.566667,http://rdf.freebase.com/,,"('label', 'ontology')",0@1117
bordeaux,44.8386,-0.578333,http://rdf.freebase.com/,,qingdao,44.8333,-0.566667,http://data.nytimes.com/,,"('label', 'ele')",0@1117
bordeaux,44.8386,-0.578333,http://rdf.freebase.com/,,Bordeaux (France),36.0833,-0.566667,http://rdf.freebase.com/,,"('lat', 'ontology')",0@1117
bordeaux,44.8386,-0.578333,http://rdf.freebase.com/,,Bordeaux (France),44.8333,120.333,http://rdf.freebase.com/,,"('lon', 'ontology')",0@1117
bordeaux,44.8386,-0.578333,http://rdf.freebase.com/,,Bordeaux (France),44.8333,-0.566667,http://rdf.freebase.com/,,"('ontology', 'ele')",0@1117
bordeaux,44.8386,-0.578333,http://rdf.freebase.com/,,qingdao,36.0833,120.333,http://data.nytimes.com/,,"('label', 'lat', 'lon')",0@1117
bordeaux,44.8386,-0.578333,http://rdf.freebase.com/,,qingdao,36.0833,-0.566667,http://rdf.freebase.com/,,"('label', 'lat', 'ontology')",0@1117
bordeaux,44.8386,-0.578333,http://rdf.freebase.com/,,qingdao,36.0833,-0.566667,http://data.nytimes.com/,,"('label', 'lat', 'ele')",0@1117
bordeaux,44.8386,-0.578333,http://rdf.freebase.com/,,qingdao,44.8333,120.333,http://rdf.freebase.com/,,"('label', 'lon', 'ontology')",0@1117
bordeaux,44.8386,-0.578333,http://rdf.freebase.com/,,qingdao,44.8333,120.333,http://data.nytimes.com/,,"('label', 'lon', 'ele')",0@1117
bordeaux,44.8386,-0.578333,http://rdf.freebase.com/,,qingdao,44.8333,-0.566667,http://rdf.freebase.com/,,"('label', 'ontology', 'ele')",0@1117
bordeaux,44.8386,-0.578333,http://rdf.freebase.com/,,Bordeaux (France),36.0833,120.333,http://rdf.freebase.com/,,"('lat', 'lon', 'ontology')",0@1117
bordeaux,44.8386,-0.578333,http://rdf.freebase.com/,,Bordeaux (France),36.0833,-0.566667,http://rdf.freebase.com/,,"('lat', 'ontology', 'ele')",0@1117
bordeaux,44.8386,-0.578333,http://rdf.freebase.com/,,Bordeaux (France),44.8333,120.333,http://rdf.freebase.com/,,"('lon', 'ontology', 'ele')",0@1117
amalfi,40.6333,14.6,http://rdf.freebase.com/,,Richmond,40.6333,14.6,http://dbpedia.org/,,"('label',)",1@7217
amalfi,40.6333,14.6,http://rdf.freebase.com/,,Richmond,37.5538,14.6,http://dbpedia.org/,,"('label', 'lat')",1@7217
amalfi,40.6333,14.6,http://rdf.freebase.com/,,Richmond,40.6333,-77.4603,http://dbpedia.org/,,"('label', 'lon')",1@7217
amalfi,40.6333,14.6,http://rdf.freebase.com/,,Richmond,40.6333,14.6,http://sws.geonames.org/,,"('label', 'ontology')",1@7217
amalfi,40.6333,14.6,http://rdf.freebase.com/,,Richmond,40.6333,14.6,http://dbpedia.org/,,"('label', 'ele')",1@7217
amalfi,40.6333,14.6,http://rdf.freebase.com/,,Richmond,37.5538,-77.4603,http://dbpedia.org/,,"('label', 'lat', 'lon')",1@7217
amalfi,40.6333,14.6,http://rdf.freebase.com/,,Richmond,37.5538,14.6,http://sws.geonames.org/,,"('label', 'lat', 'ontology')",1@7217
amalfi,40.6333,14.6,http://rdf.freebase.com/,,Richmond,37.5538,14.6,http://dbpedia.org/,,"('label', 'lat', 'ele')",1@7217
amalfi,40.6333,14.6,http://rdf.freebase.com/,,Richmond,40.6333,-77.4603,http://sws.geonames.org/,,"('label', 'lon', 'ontology')",1@7217
amalfi,40.6333,14.6,http://rdf.freebase.com/,,Richmond,40.6333,-77.4603,http://dbpedia.org/,,"('label', 'lon', 'ele')",1@7217
amalfi,40.6333,14.6,http://rdf.freebase.com/,,Richmond,40.6333,14.6,http://sws.geonames.org/,,"('label', 'ontology', 'ele')",1@7217
amalfi,40.6333,14.6,http://rdf.freebase.com/,,Akihabara,40.6333,14.6,http://dbpedia.org/,,"('label',)",1@7217
amalfi,40.6333,14.6,http://rdf.freebase.com/,,Akihabara,35.6973,14.6,http://dbpedia.org/,,"('label', 'lat')",1@7217
amalfi,40.6333,14.6,http://rdf.freebase.com/,,Akihabara,40.6333,139.77200000000002,http://dbpedia.org/,,"('label', 'lon')",1@7217
amalfi,40.6333,14.6,http://rdf.freebase.com/,,Akihabara,40.6333,14.6,http://dbpedia.org/,,"('label', 'ontology')",1@7217
amalfi,40.6333,14.6,http://rdf.freebase.com/,,Akihabara,40.6333,14.6,http://dbpedia.org/,,"('label', 'ele')",1@7217
amalfi,40.6333,14.6,http://rdf.freebase.com/,,Akihabara,35.6973,139.77200000000002,http://dbpedia.org/,,"('label', 'lat', 'lon')",1@7217
amalfi,40.6333,14.6,http://rdf.freebase.com/,,Akihabara,35.6973,14.6,http://dbpedia.org/,,"('label', 'lat', 'ontology')",1@7217
amalfi,40.6333,14.6,http://rdf.freebase.com/,,Akihabara,35.6973,14.6,http://dbpedia.org/,,"('label', 'lat', 'ele')",1@7217
amalfi,40.6333,14.6,http://rdf.freebase.com/,,Akihabara,40.6333,139.77200000000002,http://dbpedia.org/,,"('label', 'lon', 'ontology')",1@7217
amalfi,40.6333,14.6,http://rdf.freebase.com/,,Akihabara,40.6333,139.77200000000002,http://dbpedia.org/,,"('label', 'lon', 'ele')",1@7217
amalfi,40.6333,14.6,http://rdf.freebase.com/,,Akihabara,40.6333,14.6,http://dbpedia.org/,,"('label', 'ontology', 'ele')",1@7217
natal,-5.7667,-35.2,http://rdf.freebase.com/,,manchester united kingdom,-5.795,-35.2094,http://data.nytimes.com/,,"('label',)",1@2267
natal,-5.7667,-35.2,http://rdf.freebase.com/,,Natal (Brazil),-5.795,-35.2094,http://rdf.freebase.com/,,"('ontology',)",1@2267
natal,-5.7667,-35.2,http://rdf.freebase.com/,,manchester united kingdom,53.48,-35.2094,http://data.nytimes.com/,,"('label', 'lat')",1@2267
natal,-5.7667,-35.2,http://rdf.freebase.com/,,manchester united kingdom,-5.795,-2.24,http://data.nytimes.com/,,"('label', 'lon')",1@2267
natal,-5.7667,-35.2,http://rdf.freebase.com/,,manchester united kingdom,-5.795,-35.2094,http://rdf.freebase.com/,,"('label', 'ontology')",1@2267
natal,-5.7667,-35.2,http://rdf.freebase.com/,,manchester united kingdom,-5.795,-35.2094,http://data.nytimes.com/,,"('label', 'ele')",1@2267
natal,-5.7667,-35.2,http://rdf.freebase.com/,,Natal (Brazil),53.48,-35.2094,http://rdf.freebase.com/,,"('lat', 'ontology')",1@2267
natal,-5.7667,-35.2,http://rdf.freebase.com/,,Natal (Brazil),-5.795,-2.24,http://rdf.freebase.com/,,"('lon', 'ontology')",1@2267
natal,-5.7667,-35.2,http://rdf.freebase.com/,,Natal (Brazil),-5.795,-35.2094,http://rdf.freebase.com/,,"('ontology', 'ele')",1@2267
natal,-5.7667,-35.2,http://rdf.freebase.com/,,manchester united kingdom,53.48,-2.24,http://data.nytimes.com/,,"('label', 'lat', 'lon')",1@2267
natal,-5.7667,-35.2,http://rdf.freebase.com/,,manchester united kingdom,53.48,-35.2094,http://rdf.freebase.com/,,"('label', 'lat', 'ontology')",1@2267
