,0
label,0.6614173228346457
lat,0.005905511811023622
lon,0.001968503937007874
ontology,0.003937007874015748
ele,0.001968503937007874
label/lat,0.7263779527559056
label/lon,0.6948818897637795
label/ontology,0.8759842519685039
label/ele,0.6614173228346457
lat/lon,0.015748031496062992
lat/ontology,0.00984251968503937
lat/ele,0.005905511811023622
lon/ontology,0.005905511811023622
lon/ele,0.001968503937007874
ontology/ele,0.003937007874015748
label/lat/lon,0.7519685039370079
label/lat/ontology,0.9429133858267716
label/lat/ele,0.7244094488188977
label/lon/ontology,0.9173228346456693
label/lon/ele,0.6948818897637795
label/ontology/ele,0.8779527559055118
lat/lon/ontology,0.015748031496062992
lat/lon/ele,0.015748031496062992
lat/ontology/ele,0.00984251968503937
lon/ontology/ele,0.005905511811023622
