,0
brand,0.12452107279693486
modelno,0.011494252873563218
title,0.31800766283524906
price,0.0
dimensions,0.0
imageurl,0.0
shipweight,0.0
brand/modelno,0.21455938697318008
brand/title,0.7432950191570882
brand/price,0.11877394636015326
brand/dimensions,0.09578544061302682
brand/imageurl,0.08620689655172414
brand/shipweight,0.13026819923371646
modelno/title,0.4425287356321839
modelno/price,0.011494252873563218
modelno/dimensions,0.007662835249042145
modelno/imageurl,0.009578544061302681
modelno/shipweight,0.011494252873563218
title/price,0.31800766283524906
title/dimensions,0.31992337164750956
title/imageurl,0.29310344827586204
title/shipweight,0.31417624521072796
price/dimensions,0.0
price/imageurl,0.0
price/shipweight,0.0
dimensions/imageurl,0.0
dimensions/shipweight,0.0
imageurl/shipweight,0.0
brand/modelno/title,0.8218390804597702
brand/modelno/price,0.21455938697318008
brand/modelno/dimensions,0.19348659003831417
brand/modelno/imageurl,0.16091954022988506
brand/modelno/shipweight,0.2164750957854406
brand/title/price,0.7432950191570882
brand/title/dimensions,0.7758620689655172
brand/title/imageurl,0.7298850574712644
brand/title/shipweight,0.7452107279693486
brand/price/dimensions,0.08812260536398467
brand/price/imageurl,0.09386973180076628
brand/price/shipweight,0.1206896551724138
brand/dimensions/imageurl,0.06321839080459771
brand/dimensions/shipweight,0.10344827586206896
brand/imageurl/shipweight,0.09195402298850575
modelno/title/price,0.4501915708812261
modelno/title/dimensions,0.4444444444444444
modelno/title/imageurl,0.3888888888888889
modelno/title/shipweight,0.4521072796934866
modelno/price/dimensions,0.007662835249042145
modelno/price/imageurl,0.007662835249042145
modelno/price/shipweight,0.011494252873563218
modelno/dimensions/imageurl,0.0038314176245210726
modelno/dimensions/shipweight,0.007662835249042145
modelno/imageurl/shipweight,0.007662835249042145
title/price/dimensions,0.3275862068965517
title/price/imageurl,0.28735632183908044
title/price/shipweight,0.3218390804597701
title/dimensions/imageurl,0.28735632183908044
title/dimensions/shipweight,0.3275862068965517
title/imageurl/shipweight,0.2950191570881226
price/dimensions/imageurl,0.0
price/dimensions/shipweight,0.0
price/imageurl/shipweight,0.0
dimensions/imageurl/shipweight,0.0
brand/modelno/title/price,0.814176245210728
brand/modelno/title/dimensions,0.8352490421455939
brand/modelno/title/imageurl,0.7796934865900383
brand/modelno/title/shipweight,0.8122605363984674
brand/modelno/price/dimensions,0.19348659003831417
brand/modelno/price/imageurl,0.15900383141762453
brand/modelno/price/shipweight,0.21264367816091953
brand/modelno/dimensions/imageurl,0.12643678160919541
brand/modelno/dimensions/shipweight,0.19923371647509577
brand/modelno/imageurl/shipweight,0.17049808429118773
brand/title/price/dimensions,0.7777777777777778
brand/title/price/imageurl,0.7298850574712644
brand/title/price/shipweight,0.7490421455938697
brand/title/dimensions/imageurl,0.7394636015325671
brand/title/dimensions/shipweight,0.7739463601532567
brand/title/imageurl/shipweight,0.7337164750957854
brand/price/dimensions/imageurl,0.06704980842911877
brand/price/dimensions/shipweight,0.1053639846743295
brand/price/imageurl/shipweight,0.09578544061302682
brand/dimensions/imageurl/shipweight,0.06513409961685823
modelno/title/price/dimensions,0.4425287356321839
modelno/title/price/imageurl,0.3850574712643678
modelno/title/price/shipweight,0.4559386973180077
modelno/title/dimensions/imageurl,0.3888888888888889
modelno/title/dimensions/shipweight,0.4425287356321839
modelno/title/imageurl/shipweight,0.38122605363984674
modelno/price/dimensions/imageurl,0.005747126436781609
modelno/price/dimensions/shipweight,0.007662835249042145
modelno/price/imageurl/shipweight,0.009578544061302681
modelno/dimensions/imageurl/shipweight,0.005747126436781609
title/price/dimensions/imageurl,0.28160919540229884
title/price/dimensions/shipweight,0.3275862068965517
title/price/imageurl/shipweight,0.2988505747126437
title/dimensions/imageurl/shipweight,0.2950191570881226
price/dimensions/imageurl/shipweight,0.0
