,0
brand,0.60727969348659
modelno,0.24904214559386972
title,0.8659003831417624
price,0.19157088122605365
dimensions,0.19731800766283525
imageurl,0.1685823754789272
shipweight,0.20114942528735633
brand/modelno,0.7068965517241379
brand/title,0.9942528735632183
brand/price,0.6053639846743295
brand/dimensions,0.6168582375478927
brand/imageurl,0.553639846743295
brand/shipweight,0.6091954022988506
modelno/title,0.9348659003831418
modelno/price,0.24521072796934865
modelno/dimensions,0.2681992337164751
modelno/imageurl,0.2222222222222222
modelno/shipweight,0.2624521072796935
title/price,0.867816091954023
title/dimensions,0.8314176245210728
title/imageurl,0.8007662835249042
title/shipweight,0.8735632183908046
price/dimensions,0.20881226053639848
price/imageurl,0.16475095785440613
price/shipweight,0.210727969348659
dimensions/imageurl,0.19157088122605365
dimensions/shipweight,0.2164750957854406
imageurl/shipweight,0.1685823754789272
brand/modelno/title,1.0
brand/modelno/price,0.7049808429118773
brand/modelno/dimensions,0.6992337164750958
brand/modelno/imageurl,0.6743295019157088
brand/modelno/shipweight,0.7183908045977011
brand/title/price,0.9942528735632183
brand/title/dimensions,0.9904214559386973
brand/title/imageurl,0.9923371647509579
brand/title/shipweight,0.9942528735632183
brand/price/dimensions,0.6187739463601533
brand/price/imageurl,0.5574712643678161
brand/price/shipweight,0.6111111111111112
brand/dimensions/imageurl,0.5440613026819924
brand/dimensions/shipweight,0.6149425287356322
brand/imageurl/shipweight,0.5574712643678161
modelno/title/price,0.9348659003831418
modelno/title/dimensions,0.9022988505747126
modelno/title/imageurl,0.8946360153256705
modelno/title/shipweight,0.9329501915708812
modelno/price/dimensions,0.2662835249042146
modelno/price/imageurl,0.22413793103448276
modelno/price/shipweight,0.26053639846743293
modelno/dimensions/imageurl,0.2509578544061303
modelno/dimensions/shipweight,0.27011494252873564
modelno/imageurl/shipweight,0.2222222222222222
title/price/dimensions,0.8295019157088123
title/price/imageurl,0.8007662835249042
title/price/shipweight,0.8735632183908046
title/dimensions/imageurl,0.7873563218390804
title/dimensions/shipweight,0.8409961685823755
title/imageurl/shipweight,0.8065134099616859
price/dimensions/imageurl,0.18773946360153257
price/dimensions/shipweight,0.2222222222222222
price/imageurl/shipweight,0.16475095785440613
dimensions/imageurl/shipweight,0.1839080459770115
brand/modelno/title/price,1.0
brand/modelno/title/dimensions,1.0
brand/modelno/title/imageurl,1.0
brand/modelno/title/shipweight,1.0
brand/modelno/price/dimensions,0.7030651340996169
brand/modelno/price/imageurl,0.6724137931034483
brand/modelno/price/shipweight,0.7126436781609196
brand/modelno/dimensions/imageurl,0.6781609195402298
brand/modelno/dimensions/shipweight,0.7126436781609196
brand/modelno/imageurl/shipweight,0.6724137931034483
brand/title/price/dimensions,0.9923371647509579
brand/title/price/imageurl,0.9923371647509579
brand/title/price/shipweight,0.9961685823754789
brand/title/dimensions/imageurl,0.9885057471264368
brand/title/dimensions/shipweight,0.9923371647509579
brand/title/imageurl/shipweight,0.9923371647509579
brand/price/dimensions/imageurl,0.5498084291187739
brand/price/dimensions/shipweight,0.6111111111111112
brand/price/imageurl/shipweight,0.5555555555555556
brand/dimensions/imageurl/shipweight,0.5498084291187739
modelno/title/price/dimensions,0.9080459770114943
modelno/title/price/imageurl,0.8946360153256705
modelno/title/price/shipweight,0.9367816091954023
modelno/title/dimensions/imageurl,0.8773946360153256
modelno/title/dimensions/shipweight,0.9061302681992337
modelno/title/imageurl/shipweight,0.9099616858237548
modelno/price/dimensions/imageurl,0.2547892720306513
modelno/price/dimensions/shipweight,0.27011494252873564
modelno/price/imageurl/shipweight,0.22413793103448276
modelno/dimensions/imageurl/shipweight,0.2567049808429119
title/price/dimensions/imageurl,0.7835249042145593
title/price/dimensions/shipweight,0.8390804597701149
title/price/imageurl/shipweight,0.8065134099616859
title/dimensions/imageurl/shipweight,0.7854406130268199
price/dimensions/imageurl/shipweight,0.1781609195402299
