ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,originalRightId
Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 %,River Otter Ale,Union Station Brewery,Amber Ale,5.10 %,"('Style',)",0@1672
Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 %,White Lion Insane Mane Red Ale,Union Station Brewery,Amber Ale,5.10 %,"('Beer_Name', 'Style')",0@1672
Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 %,River Otter Ale,Ipswich Ale Brewery,Amber Ale,5.10 %,"('Brew_Factory_Name', 'Style')",0@1672
Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 %,White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,5.10 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",0@1672
Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 %,White Lion Insane Mane Red Ale,Union Station Brewery,Amber Ale,-,"('Beer_Name', 'Style', 'ABV')",0@1672
White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-,Insane Mane Red Ale,Northampton Brewing Co. &#40; NB &#41;,Amber Ale,4.50 %,"('Beer_Name',)",1@2525
White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-,Insane Mane Red Ale,Northampton Brewing Co. &#40; NB &#41;,American Amber / Red Ale,4.50 %,"('Beer_Name', 'Style')",1@2525
White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-,Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,4.50 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",1@2525
White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-,Insane Mane Red Ale,Northampton Brewing Co. &#40; NB &#41;,American Amber / Red Ale,5.10 %,"('Beer_Name', 'Style', 'ABV')",1@2525
White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-,Insane Mane Red Ale,Okanagan Spring Brewery &#40; Sapporo &#41;,American Amber / Red Ale,5 %,"('Beer_Name', 'Style')",1@2740
White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-,Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",1@2740
White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-,Insane Mane Red Ale,Okanagan Spring Brewery &#40; Sapporo &#41;,American Amber / Red Ale,5.10 %,"('Beer_Name', 'Style', 'ABV')",1@2740
Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 %,Iron Hill Shirt Tail Amber,Yalobusha Brewing Company,Amber Ale,5.65 %,"('Beer_Name', 'Style')",0@480
Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 %,Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,5.65 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",0@480
Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 %,Iron Hill Shirt Tail Amber,Yalobusha Brewing Company,Amber Ale,4.40 %,"('Beer_Name', 'Style', 'ABV')",0@480
