ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,originalRightId
Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 %,River Otter Ale,Ipswich Ale Brewery,Amber Ale,-,"('Beer_Name',)",1@155
Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 %,White Lion Insane Mane Red Ale,Ipswich Ale Brewery,American Amber / Red Ale,-,"('Style',)",1@155
Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 %,River Otter Ale,Union Station Brewery,Amber Ale,-,"('Beer_Name', 'Brew_Factory_Name')",1@155
Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 %,River Otter Ale,Ipswich Ale Brewery,American Amber / Red Ale,-,"('Beer_Name', 'Style')",1@155
Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 %,White Lion Insane Mane Red Ale,Union Station Brewery,American Amber / Red Ale,-,"('Brew_Factory_Name', 'Style')",1@155
Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 %,White Lion Insane Mane Red Ale,Ipswich Ale Brewery,American Amber / Red Ale,5.10 %,"('Style', 'ABV')",1@155
Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 %,River Otter Ale,Union Station Brewery,American Amber / Red Ale,-,"('Beer_Name', 'Brew_Factory_Name', 'Style')",1@155
Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 %,River Otter Ale,Ipswich Ale Brewery,American Amber / Red Ale,5.10 %,"('Beer_Name', 'Style', 'ABV')",1@155
Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 %,White Lion Insane Mane Red Ale,Union Station Brewery,American Amber / Red Ale,5.10 %,"('Brew_Factory_Name', 'Style', 'ABV')",1@155
White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-,Simeon Jones River Valley Amber Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 %,"('Beer_Name',)",0@1157
White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-,Insane Mane Red Ale,White Lion Brewing Company,Amber Ale,5.10 %,"('Style',)",0@1157
White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-,Simeon Jones River Valley Amber Ale,Northampton Brewing Co. &#40; NB &#41;,American Amber / Red Ale,5.10 %,"('Beer_Name', 'Brew_Factory_Name')",0@1157
White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-,Simeon Jones River Valley Amber Ale,White Lion Brewing Company,Amber Ale,5.10 %,"('Beer_Name', 'Style')",0@1157
White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-,Simeon Jones River Valley Amber Ale,White Lion Brewing Company,American Amber / Red Ale,4.50 %,"('Beer_Name', 'ABV')",0@1157
White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-,Insane Mane Red Ale,Northampton Brewing Co. &#40; NB &#41;,Amber Ale,5.10 %,"('Brew_Factory_Name', 'Style')",0@1157
White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-,Insane Mane Red Ale,White Lion Brewing Company,Amber Ale,4.50 %,"('Style', 'ABV')",0@1157
White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-,Simeon Jones River Valley Amber Ale,Northampton Brewing Co. &#40; NB &#41;,Amber Ale,5.10 %,"('Beer_Name', 'Brew_Factory_Name', 'Style')",0@1157
