,0
label,0.9693486590038314
lat,0.007662835249042145
lon,0.007662835249042145
ontology,0.29693486590038315
ele,0.0
label/lat,0.9923371647509579
label/lon,0.9904214559386973
label/ontology,0.9808429118773946
label/ele,0.9693486590038314
lat/lon,0.01532567049808429
lat/ontology,0.3007662835249042
lat/ele,0.007662835249042145
lon/ontology,0.2988505747126437
lon/ele,0.007662835249042145
ontology/ele,0.29693486590038315
label/lat/lon,0.9961685823754789
label/lat/ontology,0.9923371647509579
label/lat/ele,0.9923371647509579
label/lon/ontology,0.9923371647509579
label/lon/ele,0.9904214559386973
label/ontology/ele,0.9808429118773946
lat/lon/ontology,0.3103448275862069
lat/lon/ele,0.01532567049808429
lat/ontology/ele,0.3007662835249042
lon/ontology/ele,0.2988505747126437
