,0
Song_Name,0.08
Artist_Name,0.4533333333333333
Album_Name,0.02666666666666667
Genre,0.06666666666666667
Price,0.04
CopyRight,0.0
Time,0.24
Released,0.04
Song_Name/Artist_Name,0.7066666666666667
Song_Name/Album_Name,0.12
Song_Name/Genre,0.25333333333333335
Song_Name/Price,0.04
Song_Name/CopyRight,0.05333333333333334
Song_Name/Time,0.4266666666666667
Song_Name/Released,0.16
Artist_Name/Album_Name,0.5733333333333334
Artist_Name/Genre,0.7333333333333333
Artist_Name/Price,0.4533333333333333
Artist_Name/CopyRight,0.44
Artist_Name/Time,0.8133333333333334
Artist_Name/Released,0.5866666666666667
Album_Name/Genre,0.21333333333333335
Album_Name/Price,0.04
Album_Name/CopyRight,0.0
Album_Name/Time,0.28
Album_Name/Released,0.09333333333333334
Genre/Price,0.05333333333333334
Genre/CopyRight,0.05333333333333334
Genre/Time,0.5466666666666666
Genre/Released,0.25333333333333335
Price/CopyRight,0.0
Price/Time,0.25333333333333335
Price/Released,0.04
CopyRight/Time,0.21333333333333335
CopyRight/Released,0.0
Time/Released,0.30666666666666664
Song_Name/Artist_Name/Album_Name,0.7866666666666666
Song_Name/Artist_Name/Genre,0.8533333333333334
Song_Name/Artist_Name/Price,0.7333333333333333
Song_Name/Artist_Name/CopyRight,0.7466666666666667
Song_Name/Artist_Name/Time,0.9066666666666666
Song_Name/Artist_Name/Released,0.8133333333333334
Song_Name/Album_Name/Genre,0.44
Song_Name/Album_Name/Price,0.09333333333333334
Song_Name/Album_Name/CopyRight,0.13333333333333333
Song_Name/Album_Name/Time,0.5066666666666667
Song_Name/Album_Name/Released,0.2
Song_Name/Genre/Price,0.28
Song_Name/Genre/CopyRight,0.28
Song_Name/Genre/Time,0.76
Song_Name/Genre/Released,0.56
Song_Name/Price/CopyRight,0.04
Song_Name/Price/Time,0.44
Song_Name/Price/Released,0.12
Song_Name/CopyRight/Time,0.4533333333333333
Song_Name/CopyRight/Released,0.17333333333333334
Song_Name/Time/Released,0.5866666666666667
Artist_Name/Album_Name/Genre,0.8133333333333334
Artist_Name/Album_Name/Price,0.5733333333333334
Artist_Name/Album_Name/CopyRight,0.6133333333333333
Artist_Name/Album_Name/Time,0.84
Artist_Name/Album_Name/Released,0.6666666666666666
Artist_Name/Genre/Price,0.7466666666666667
Artist_Name/Genre/CopyRight,0.7733333333333333
Artist_Name/Genre/Time,0.9066666666666666
Artist_Name/Genre/Released,0.84
Artist_Name/Price/CopyRight,0.48
Artist_Name/Price/Time,0.8266666666666667
Artist_Name/Price/Released,0.5866666666666667
Artist_Name/CopyRight/Time,0.8666666666666667
Artist_Name/CopyRight/Released,0.6666666666666666
Artist_Name/Time/Released,0.8666666666666667
Album_Name/Genre/Price,0.2
Album_Name/Genre/CopyRight,0.18666666666666668
Album_Name/Genre/Time,0.6133333333333333
Album_Name/Genre/Released,0.36
Album_Name/Price/CopyRight,0.0
Album_Name/Price/Time,0.30666666666666664
Album_Name/Price/Released,0.06666666666666667
Album_Name/CopyRight/Time,0.26666666666666666
Album_Name/CopyRight/Released,0.05333333333333334
Album_Name/Time/Released,0.41333333333333333
Genre/Price/CopyRight,0.08
Genre/Price/Time,0.5333333333333333
Genre/Price/Released,0.24
Genre/CopyRight/Time,0.56
Genre/CopyRight/Released,0.26666666666666666
Genre/Time/Released,0.68
Price/CopyRight/Time,0.24
Price/CopyRight/Released,0.013333333333333334
Price/Time/Released,0.37333333333333335
CopyRight/Time/Released,0.30666666666666664
Song_Name/Artist_Name/Album_Name/Genre,0.88
Song_Name/Artist_Name/Album_Name/Price,0.8133333333333334
Song_Name/Artist_Name/Album_Name/CopyRight,0.8266666666666667
Song_Name/Artist_Name/Album_Name/Time,0.9466666666666667
Song_Name/Artist_Name/Album_Name/Released,0.8533333333333334
Song_Name/Artist_Name/Genre/Price,0.8666666666666667
Song_Name/Artist_Name/Genre/CopyRight,0.8666666666666667
Song_Name/Artist_Name/Genre/Time,0.9466666666666667
Song_Name/Artist_Name/Genre/Released,0.9066666666666666
Song_Name/Artist_Name/Price/CopyRight,0.8
Song_Name/Artist_Name/Price/Time,0.9466666666666667
Song_Name/Artist_Name/Price/Released,0.84
Song_Name/Artist_Name/CopyRight/Time,0.96
Song_Name/Artist_Name/CopyRight/Released,0.84
Song_Name/Artist_Name/Time/Released,0.9866666666666667
Song_Name/Album_Name/Genre/Price,0.44
Song_Name/Album_Name/Genre/CopyRight,0.4666666666666667
Song_Name/Album_Name/Genre/Time,0.84
Song_Name/Album_Name/Genre/Released,0.6533333333333333
